"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Classifying Group Emotions for Socially-Aware Autonomous Vehicle Navigation","A. Bera; T. Randhavane; A. Wang; D. Manocha; E. Kubin; K. Gray","Department of Computer Science, University of North Carolina, Chapel Hill; Department of Computer Science, University of North Carolina, Chapel Hill; Department of Computer Science, University of North Carolina, Chapel Hill; Department of Computer Science, University of North Carolina, Chapel Hill; Department of Psychology and Neuroscience, University of North Carolina, Chapel Hill; Department of Psychology and Neuroscience, University of North Carolina, Chapel Hill","2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)","16 Dec 2018","2018","","","1152","11528","We present a real-time, data-driven algorithm to enhance the social-invisibility of autonomous robot navigation within crowds. Our approach is based on prior psychological research, which reveals that people notice and-importantly-react negatively to groups of social actors when they have negative group emotions or entitativity, moving in a tight group with similar appearances and trajectories. In order to evaluate that behavior, we performed a user study to develop navigational algorithms that minimize emotional reactions. This study establishes a mapping between emotional reactions and multi-robot trajectories and appearances and further generalizes the finding across various environmental conditions. We demonstrate the applicability of our approach for trajectory computation for active navigation and dynamic intervention in simulated autonomous robot-human interaction scenarios. Our approach empirically shows that various levels of emotional autonomous robots can be used to both avoid and influence pedestrians while not eliciting strong emotional reactions, giving multi-robot systems socially-invisibility.","2160-7516","978-1-5386-6100-0","10.1109/CVPRW.2018.00151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8575305","","Navigation;Trajectory;Psychology;Computational modeling;Autonomous robots;Heuristic algorithms","human-robot interaction;mobile robots;multi-robot systems;path planning","simulated autonomous robot-human interaction scenarios;emotional autonomous robots;strong emotional reactions;multirobot systems socially-invisibility;socially-aware autonomous vehicle navigation;data-driven algorithm;social-invisibility;autonomous robot navigation;social actors;negative group emotions;tight group;similar appearances;user study;navigational algorithms;multirobot trajectories;trajectory computation;active navigation;psychological research","","6","","41","IEEE","16 Dec 2018","","","IEEE","IEEE Conferences"
"JRDB-Pose: A Large-Scale Dataset for Multi-Person Pose Estimation and Tracking","E. Vendrow; D. T. Le; J. Cai; H. Rezatofighi",Stanford University; Monash University; Monash University; Monash University,"2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","22 Aug 2023","2023","","","4811","4820","Autonomous robotic systems operating in human environments must understand their surroundings to make accurate and safe decisions. In crowded human scenes with close-up human-robot interaction and robot navigation, a deep understanding of surrounding people requires reasoning about human motion and body dynamics over time with human body pose estimation and tracking. However, existing datasets captured from robot platforms either do not provide pose annotations or do not reflect the scene distribution of social robots. In this paper, we introduce JRDB-Pose, a large-scale dataset and benchmark for multi-person pose estimation and tracking. JRDB-Pose extends the existing JRDB which includes videos captured from a social navigation robot in a university campus environment, containing challenging scenes with crowded indoor and outdoor locations and a diverse range of scales and occlusion types. JRDB-Pose provides human pose annotations with per-keypoint occlusion labels and track IDs consistent across the scene and with existing annotations in JRDB. We conduct a thorough experimental study of state-of-the-art multi-person pose estimation and tracking methods on JRDB-Pose, showing that our dataset imposes new challenges for the existing methods. JRDB-Pose is available at https://jrdb.erc.monash.edu/.","2575-7075","979-8-3503-0129-8","10.1109/CVPR52729.2023.00466","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10204595","Humans: Face;body;pose;gesture;movement","Measurement;Computer vision;Annotations;Navigation;Tracking;Pose estimation;Social robots","human-robot interaction;mobile robots;path planning;pose estimation;video signal processing","autonomous robotic systems;body dynamics;crowded human scenes;human body;human environments;human motion;human-robot interaction;JRDB-Pose;large-scale dataset;multiperson pose estimation;robot navigation;social navigation robot","","","","57","IEEE","22 Aug 2023","","","IEEE","IEEE Conferences"
"Robust Neural Routing Through Space Partitions for Camera Relocalization in Dynamic Indoor Environments","S. Dong; Q. Fan; H. Wang; J. Shi; L. Yi; T. Funkhouser; B. Chen; L. Guibas",Shandong University; Stanford University; Stanford University; Peking University; Google Research; Google Research; Peking University; Stanford University,"2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","2 Nov 2021","2021","","","8540","8550","Localizing the camera in a known indoor environment is a key building block for scene mapping, robot navigation, AR, etc. Recent advances estimate the camera pose via optimization over the 2D/3D-3D correspondences established between the coordinates in 2D/3D camera space and 3D world space. Such a mapping is estimated with either a convolution neural network or a decision tree using only the static input image sequence, which makes these approaches vulnerable to dynamic indoor environments that are quite common yet challenging in the real world. To address the aforementioned issues, in this paper, we propose a novel outlier-aware neural tree which bridges the two worlds, deep learning and decision tree approaches. It builds on three important blocks: (a) a hierarchical space partition over the indoor scene to construct the decision tree; (b) a neural routing function, implemented as a deep classification network, employed for better 3D scene understanding; and (c) an outlier rejection module used to filter out dynamic points during the hierarchical routing process. Our proposed algorithm is evaluated on the RIO-10 benchmark developed for camera relocalization in dynamic indoor environments. It achieves robust neural routing through space partitions and outperforms the state-of-the-art approaches by around 30% on camera pose accuracy, while running comparably fast for evaluation.","2575-7075","978-1-6654-4509-2","10.1109/CVPR46437.2021.00844","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9577932","","Three-dimensional displays;Heuristic algorithms;Robot kinematics;Robot vision systems;Cameras;Routing;Indoor environment","cameras;decision trees;feature extraction;image matching;image reconstruction;image sequences;learning (artificial intelligence);mobile robots;neural nets;object detection;optimisation;path planning;pattern classification;pose estimation;robot vision","robust neural routing;space partitions;camera relocalization;dynamic indoor environments;known indoor environment;scene mapping;convolution neural network;decision tree;static input image sequence;novel outlier-aware neural tree;hierarchical space partition;indoor scene;neural routing function;3D scene understanding;hierarchical routing process","","8","","58","IEEE","2 Nov 2021","","","IEEE","IEEE Conferences"
"Multi-Agent Tensor Fusion for Contextual Trajectory Prediction","T. Zhao; Y. Xu; M. Monfort; W. Choi; C. Baker; Y. Zhao; Y. Wang; Y. N. Wu",Peking University; ISEE.AI; ISEE.AI; ISEE.AI; ISEE.AI; ISEE.AI; Peking University; ISEE.AI,"2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","9 Jan 2020","2019","","","12118","12126","Accurate prediction of others' trajectories is essential for autonomous driving. Trajectory prediction is challenging because it requires reasoning about agents' past movements, social interactions among varying numbers and kinds of agents, constraints from the scene context, and the stochasticity of human behavior. Our approach models these interactions and constraints jointly within a novel Multi-Agent Tensor Fusion (MATF) network. Specifically, the model encodes multiple agents' past trajectories and the scene context into a Multi-Agent Tensor, then applies convolutional fusion to capture multiagent interactions while retaining the spatial structure of agents and the scene context. The model decodes recurrently to multiple agents' future trajectories, using adversarial loss to learn stochastic predictions. Experiments on both highway driving and pedestrian crowd datasets show that the model achieves state-of-the-art prediction accuracy.","2575-7075","978-1-7281-3293-8","10.1109/CVPR.2019.01240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8953520","Motion and Tracking;Deep Learning ; Robotics + Driving; Scene Analysis and Understanding; Vision Applications and System","","image capture;image fusion;intelligent transportation systems;learning (artificial intelligence);multi-agent systems;stochastic processes;tensors","contextual trajectory prediction;autonomous driving;social interactions;scene context;human behavior;convolutional fusion;multiagent interactions;stochastic predictions;pedestrian crowd datasets;prediction accuracy;multiagent tensor fusion network","","205","1","32","IEEE","9 Jan 2020","","","IEEE","IEEE Conferences"
"Boosting Detection in Crowd Analysis via Underutilized Output Features","S. Wu; F. Yang",Jilin University; University of Michigan,"2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","22 Aug 2023","2023","","","15609","15618","Detection-based methods have been viewed unfavorably in crowd analysis due to their poor performance in dense crowds. However, we argue that the potential of these methods has been underestimated, as they offer crucial information for crowd analysis that is often ignored. Specifically, the area size and confidence score of output proposals and bounding boxes provide insight into the scale and density of the crowd. To leverage these underutilized features, we propose Crowd Hat, a plug-and-play module that can be easily integrated with existing detection models. This module uses a mixed 2D-1D compression technique to refine the output features and obtain the spatial and numerical distribution of crowd-specific information. Based on these features, we further propose region-adaptive NMS thresholds and a decouple-then-align paradigm that address the major limitations of detection-based methods. Our extensive evaluations on various crowd analysis tasks, including crowd counting, localization, and detection, demonstrate the effectiveness of utilizing output features and the potential of detection-based methods in crowd analysis. Our code is available at https://github.com/wskingdom/Crowd-Hat.","2575-7075","979-8-3503-0129-8","10.1109/CVPR52729.2023.01498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10203588","Humans: Face;body;pose;gesture;movement","Location awareness;Computer vision;Codes;Computational modeling;Pipelines;Feature extraction;Pattern recognition","data compression;feature extraction;object detection","crowd analysis tasks;crowd counting;Crowd Hat;crowd-specific information;dense crowds;detection models;region-adaptive NMS thresholds;underutilized output features","","","","38","IEEE","22 Aug 2023","","","IEEE","IEEE Conferences"
"Tracking Pedestrian Heads in Dense Crowd","R. Sundararaman; C. De Almeida Braga; E. Marchand; J. Pettré","Univ Rennes, Inria, CNRS, Irisa, Rennes, France; Univ Rennes, Inria, CNRS, Irisa, Rennes, France; Univ Rennes, Inria, CNRS, Irisa, Rennes, France; Univ Rennes, Inria, CNRS, Irisa, Rennes, France","2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","2 Nov 2021","2021","","","3864","3874","Tracking humans in crowded video sequences is an important constituent of visual scene understanding. Increasing crowd density challenges visibility of humans, limiting the scalability of existing pedestrian trackers to higher crowd densities. For that reason, we propose to revitalize head tracking with Crowd of Heads Dataset (CroHD), consisting of 9 sequences of 11,463 frames with over 2,276,838 heads and 5,230 tracks annotated in diverse scenes. For evaluation, we proposed a new metric, IDEucl, to measure an algorithm’s efficacy in preserving a unique identity for the longest stretch in image coordinate space, thus building a correspondence between pedestrian crowd motion and the performance of a tracking algorithm. Moreover, we also propose a new head detector, HeadHunter, which is designed for small head detection in crowded scenes. We extend HeadHunter with a Particle Filter and a color histogram based re-identification module for head tracking. To establish this as a strong baseline, we compare our tracker with existing state-of-the-art pedestrian trackers on CroHD and demonstrate superiority, especially in identity preserving tracking metrics. With a light-weight head detector and a tracker which is efficient at identity preservation, we believe our contributions will serve useful in advancement of pedestrian tracking in dense crowds. We make our dataset, code and models publicly available at https://project.inria.fr/crowdscience/project/dense-crowd-head-tracking/.","2575-7075","978-1-6654-4509-2","10.1109/CVPR46437.2021.00386","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9577483","","Visualization;Head;Tracking;Scalability;Video sequences;Detectors;Real-time systems","feature extraction;image colour analysis;image filtering;image motion analysis;image sequences;object detection;object tracking;particle filtering (numerical methods);pedestrians;traffic engineering computing;video signal processing","tracking algorithm;head detection;crowded scenes;color histogram based re-identification module;pedestrian trackers;CroHD;tracking metrics;identity preservation;dense crowds;crowded video sequences;visual scene understanding;crowd density;pedestrian crowd motion;pedestrian head tracking;lightweight head detector;human tracking;crowd of head dataset;diverse scene annotation;IDEucl metric;image coordinate space;HeadHunter;particle filter","","24","","70","IEEE","2 Nov 2021","","","IEEE","IEEE Conferences"
"StarCraftImage: A Dataset For Prototyping Spatial Reasoning Methods For Multi-Agent Environments","S. Kulinski; N. R. Waytowich; J. Z. Hare; D. I. Inouye","Purdue University; ARL, DEVCOM Army Research Laboratory; ARL, DEVCOM Army Research Laboratory; Purdue University","2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","22 Aug 2023","2023","","","22004","22013","Spatial reasoning tasks in multi-agent environments such as event prediction, agent type identification, or missing data imputation are important for multiple applications (e.g., autonomous surveillance over sensor networks and subtasks for reinforcement learning (RL)). StarCraft II game replays encode intelligent (and adversarial) multiagent behavior and could provide a testbed for these tasks; however, extracting simple and standardized representations for prototyping these tasks is laborious and hinders reproducibility. In contrast, MNIST and CIFAR10, despite their extreme simplicity, have enabled rapid prototyping and reproducibility of ML methods. Following the simplicity of these datasets, we construct a benchmark spatial reasoning dataset based on StarCraft II replays that exhibit complex multi-agent behaviors, while still being as easy to use as MNIST and CIFAR10. Specifically, we carefully summarize a window of 255 consecutive game states to create 3.6 million summary images from 60,000 replays, including all relevant metadata such as game outcome and player races. We develop three formats of decreasing complexity: Hyperspectral images that include one channel for every unit type (similar to multispectral geospatial images), RGB images that mimic CIFAR10, and grayscale images that mimic MNIST. We show how this dataset can be used for prototyping spatial reasoning methods. All datasets, code for extraction, and code for dataset loading can be found at https://starcraftdata.davidinouye.com/.","2575-7075","979-8-3503-0129-8","10.1109/CVPR52729.2023.02107","NSF(grant numbers:IIS-2212097); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10204010","Datasets and evaluation","Codes;Loading;Games;Metadata;Gray-scale;Cognition;Spatial databases","computer games;hyperspectral imaging;meta data;multi-agent systems;reinforcement learning;spatial reasoning","255 consecutive game states;3.6 million summary images;agent type identification;autonomous surveillance over sensor networks;benchmark spatial reasoning dataset;dataset loading;encode intelligent multiagent behavior;event prediction;exhibit complex multiagent behaviors;game outcome;hinders reproducibility;mimic CIFAR10;missing data imputation;ML methods;MNIST;multiagent environments;player races;prototyping spatial reasoning methods;rapid prototyping;simple representations;spatial reasoning tasks;standardized representations;StarCraft II game;subtasks","","","","48","IEEE","22 Aug 2023","","","IEEE","IEEE Conferences"
"Progressive End-to-End Object Detection in Crowded Scenes","A. Zheng; Y. Zhang; X. Zhang; X. Qi; J. Sun",MEGVII Technology; Shanghai Jiao Tong University; MEGVII Technology; University of Hong Kong; MEGVII Technology,"2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","27 Sep 2022","2022","","","847","856","In this paper, we propose a new query-based detection framework for crowd detection. Previous query-based detectors suffer from two drawbacks: first, multiple predictions will be inferred for a single object, typically in crowded scenes; second, the performance saturates as the depth of the decoding stage increases. Benefiting from the nature of the one-to-one label assignment rule, we propose a progressive predicting method to address the above issues. Specifically, we first select accepted queries prone to generate true positive predictions, then refine the rest noisy queries according to the previously accepted predictions. Experiments show that our method can significantly boost the performance of query-based detectors in crowded scenes. Equipped with our approach, Sparse RCNN achieves 92.0% AP, 41.4% MR−2 and 83.2% JI on the challenging CrowdHuman [35] dataset, outperforming the box-based method MIP [8] that specifies in handling crowded scenarios. Moreover, the proposed method, robust to crowdedness, can still obtain consistent improvements on moderately and slightly crowded datasets like CityPersons [47] and COCO [26]. Code will be made publicly available at https://github.com/megvii-model/Iter-E2EDET.","2575-7075","978-1-6654-6946-3","10.1109/CVPR52688.2022.00093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878585","Deep learning architectures and techniques; Recognition: detection;categorization;retrieval; Representation learning; Scene analysis and understanding; Vision applications and systems","Representation learning;Performance evaluation;Deep learning;Machine vision;Detectors;Prediction methods;Object detection","decoding;object detection;query processing;video surveillance","progressive end-to-end object detection;crowded scenes;query-based detection framework;crowd detection;previous query-based detectors;multiple predictions;decoding stage increases;label assignment rule;progressive predicting method;positive predictions;rest noisy queries;accepted predictions;box-based method MIP;crowded scenarios;crowded datasets","","11","","52","IEEE","27 Sep 2022","","","IEEE","IEEE Conferences"
"CrowdCLIP: Unsupervised Crowd Counting via Vision-Language Model","D. Liang; J. Xie; Z. Zou; X. Ye; W. Xu; X. Bai","Huazhong University of Science and Technology; Beijing University of Posts and Telecommunications; Baidu Inc., China; Baidu Inc., China; Beijing University of Posts and Telecommunications; Huazhong University of Science and Technology","2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","22 Aug 2023","2023","","","2893","2903","Supervised crowd counting relies heavily on costly manual labeling, which is difficult and expensive, especially in dense scenes. To alleviate the problem, we propose a novel unsupervised framework for crowd counting, named CrowdCLIP. The core idea is built on two observations: 1) the recent contrastive pre-trained vision-language model (CLIP) has presented impressive performance on various downstream tasks; 2) there is a natural mapping between crowd patches and count text. To the best of our knowledge, CrowdCLIP is the first to investigate the vision-language knowledge to solve the counting problem. Specifically, in the training stage, we exploit the multi-modal ranking loss by constructing ranking text prompts to match the size-sorted crowd patches to guide the image encoder learning. In the testing stage, to deal with the diversity of image patches, we propose a simple yet effective progressive filtering strategy to first select the highly potential crowd patches and then map them into the language space with various counting intervals. Extensive experiments on five challenging datasets demonstrate that the proposed CrowdCLIP achieves superior performance compared to previous unsupervised state-of-the-art counting methods. Notably, CrowdCLIP even surpasses some pop-ular fully-supervised methods under the cross-dataset setting. The source code will be available at https://github.com/dk-liang/CrowdCLIP.","2575-7075","979-8-3503-0129-8","10.1109/CVPR52729.2023.00283","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10203327","Humans: Face;body;pose;gesture;movement","Training;Computer vision;Filtering;Source coding;Manuals;Pattern recognition;Labeling","computer vision;image representation;learning (artificial intelligence);object detection;supervised learning;unsupervised learning","costly manual labeling;count text;counting intervals;counting problem;dense scenes;downstream tasks;effective progressive filtering strategy;highly potential crowd patches;image encoder learning;image patches;language space;multimodal ranking loss;named CrowdCLIP;natural mapping;novel unsupervised framework;pop-ular fully-supervised methods;previous unsupervised state-of-the-art counting methods;ranking text;recent contrastive pre-trained vision-language model;size-sorted crowd patches;supervised crowd counting;testing stage;training stage;unsupervised crowd counting;vision-language knowledge","","","","65","IEEE","22 Aug 2023","","","IEEE","IEEE Conferences"
"IPCC-TP: Utilizing Incremental Pearson Correlation Coefficient for Joint Multi-Agent Trajectory Prediction","D. Zhu; G. Zhai; Y. Di; F. Manhardt; H. Berkemeyer; T. Tran; N. Navab; F. Tombari; B. Busam",Technical University of Munich; Technical University of Munich; Technical University of Munich; Google; Robert Bosch GmbH; Robert Bosch GmbH; Technical University of Munich; Technical University of Munich; Technical University of Munich,"2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","22 Aug 2023","2023","","","5507","5516","Reliable multi-agent trajectory prediction is crucial for the safe planning and control of autonomous systems. Compared with single-agent cases, the major challenge in simultaneously processing multiple agents lies in modeling complex social interactions caused by various driving intentions and road conditions. Previous methods typically leverage graph-based message propagation or attention mechanism to encapsulate such interactions in the format of marginal probabilistic distributions. However, it is inherently sub-optimal. In this paper, we propose IPCC-TP, a novel relevance-aware module based on Incremental Pearson Correlation Coefficient to improve multi-agent interaction modeling. IPCC-TP learns pairwise joint Gaussian Distributions through the tightly-coupled estimation of the means and covariances according to interactive incremental movements. Our module can be conveniently embedded into existing multi-agent prediction methods to extend original motion distribution decoders. Extensive experiments on nuScenes and Argoverse 2 datasets demonstrate that IPCC-TP improves the performance of baselines by a large margin.","2575-7075","979-8-3503-0129-8","10.1109/CVPR52729.2023.00533","China Scholarship Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10203793","Autonomous driving","Correlation coefficient;Computational modeling;Roads;Predictive models;Gaussian distribution;Probabilistic logic;Probability distribution","control engineering computing;Gaussian distribution;graph theory;learning (artificial intelligence);multi-agent systems;road traffic control","autonomous systems;complex social interactions;graph-based message propagation;incremental pearson correlation coefficient;interactive incremental movements;IPCC-TP;joint Gaussian Distributions;joint multiagent trajectory prediction;marginal probabilistic distributions;multiagent interaction modeling;multiagent prediction methods;relevance-aware module;single-agent cases","","","","48","IEEE","22 Aug 2023","","","IEEE","IEEE Conferences"
