"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Measuring Crowd Collectiveness via Global Motion Correlation","L. Mei; J. Lai; Z. Chen; X. Xie","School of Electronics and Information Technology, Sun Yat-sen University, China; School of Data and Computer Science, Sun Yat-Sen University, Guangzhou, China; School of Data and Computer Science, Sun Yat-Sen University, Guangzhou, China; School of Data and Computer Science, Sun Yat-Sen University, Guangzhou, China","2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW)","5 Mar 2020","2019","","","1222","1231","Crowd collectiveness refers to the behavior consistency of crowd scenes, which reflects the degree of collective movements among massive individuals in crowd systems. The existing methods focus on measuring the discrepancy of motion direction among the individuals. However, few studies consider the magnitude discrepancy of velocity in a crowd and the collectiveness among different crowds, which can also affect the overall crowd collectiveness. In this paper, we propose a novel descriptor which combines intra-crowd collectiveness with inter-crowd collectiveness to solve the problem. For intra-crowd collectiveness, we introduce the energy spread process to identify the impacting factors of collectiveness, then measure the collectiveness of individuals within a crowd cluster by computing their similarities of magnitude and direction from the optical flow. For inter-crowd collectiveness, we assess the motion consistency among various crowd clusters generated from collective merging. Experimental results demonstrate that how the new collectiveness descriptor improves performance on three different crowd datasets, thus validating the superiority of the proposed descriptor.","2473-9944","978-1-7281-5023-9","10.1109/ICCVW.2019.00155","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022173","Measuring Crowd collectiveness;Collective human behaviour;Crowd motion analysis;Global motion correlation;Energy spread process","Merging;Motion measurement;Optical imaging;Trajectory;Optical variables measurement;Microorganisms;Motion segmentation","image motion analysis;image sequences","optical flow;energy spread process;crowd scene behavior consistency;crowd systems;collective movements;global motion correlation;collectiveness descriptor;collective merging;inter-crowd collectiveness;intra-crowd collectiveness","","1","","48","IEEE","5 Mar 2020","","","IEEE","IEEE Conferences"
"Social and Scene-Aware Trajectory Prediction in Crowded Spaces","M. Lisotto; P. Coscia; L. Ballan","Department of Mathematics “Tullio Levi-Civita”, University of Padova, Italy; Department of Mathematics “Tullio Levi-Civita”, University of Padova, Italy; Department of Mathematics “Tullio Levi-Civita”, University of Padova, Italy","2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW)","5 Mar 2020","2019","","","2567","2574","Mimicking human ability to forecast future positions or interpret complex interactions in urban scenarios, such as streets, shopping malls or squares, is essential to develop socially compliant robots or self-driving cars. Autonomous systems may gain advantage on anticipating human motion to avoid collisions or to naturally behave alongside people. To foresee plausible trajectories, we construct an LSTM (long short-term memory)-based model considering three fundamental factors: people interactions, past observations in terms of previously crossed areas and semantics of surrounding space. Our model encompasses several pooling mechanisms to join the above elements defining multiple tensors, namely social, navigation and semantic tensors. The network is tested in unstructured environments where complex paths emerge according to both internal (intentions) and external (other people, not accessible areas) motivations. As demonstrated, modeling paths unaware of social interactions or context information, is insufficient to correctly predict future positions. Experimental results corroborate the effectiveness of the proposed framework in comparison to LSTM-based models for human path prediction.","2473-9944","978-1-7281-5023-9","10.1109/ICCVW.2019.00314","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9021955","human trajectory forecasting;LSTM based model;scene aware","Semantics;Tensile stress;Trajectory;Navigation;Predictive models;Mathematical model;Buildings","collision avoidance;human-robot interaction;mobile robots;recurrent neural nets","long short-term memory-based model;crossed areas;surrounding space;pooling mechanisms;semantic tensors;complex paths;accessible areas;social interactions;LSTM-based models;human path prediction;social and scene-aware trajectory prediction;plausible trajectories;human motion;autonomous systems;self-driving cars;socially compliant robots;shopping malls;urban scenarios;complex interactions;human ability;crowded spaces","","42","","22","IEEE","5 Mar 2020","","","IEEE","IEEE Conferences"
"SLAMANTIC - Leveraging Semantics to Improve VSLAM in Dynamic Environments","M. Schörghuber; D. Steininger; Y. Cabon; M. Humenberger; M. Gelautz","Austrian Institute of Technology, Vienna, Austria; Austrian Institute of Technology; NAVER LABS Europe; NAVER LABS Europe; Vienna University of Technology","2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW)","5 Mar 2020","2019","","","3759","3768","In this paper, we tackle the challenge for VSLAM of handling non-static environments. We propose to include semantic information obtained by deep learning methods in the traditional geometric pipeline. Specifically, we compute a confidence measure for each map point as a function of its semantic class (car, person, building, etc.) and its detection consistency over time. The confidence is then applied to guide the usage of each point in the mapping and localization stage. Points with high confidence are used to verify points with low confidence in order to select the final set of points for pose computation and mapping. Furthermore, we can handle map points whose state may change between static and dynamic (a car can be parked or in motion). Evaluating our method on public datasets, we show that it can successfully solve challenging situations in dynamic environments which cause state-of-the-art baseline VSLAM algorithms to fail and that it maintains performance on static scenes. Code is available at github.com/mthz/slamantic.","2473-9944","978-1-7281-5023-9","10.1109/ICCVW.2019.00468","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022073","vslam;semantic segmentation;dynamic environments;robust vslam","Semantics;Automobiles;Dynamics;Heuristic algorithms;Cameras;Three-dimensional displays;Buildings","learning (artificial intelligence);semantic networks;SLAM (robots)","pose computation;geometric pipeline;SLAMANTIC;VSLAM;static scenes;localization stage;semantic class;map point;confidence measure;deep learning methods;semantic information;nonstatic environments;dynamic environments","","14","","35","IEEE","5 Mar 2020","","","IEEE","IEEE Conferences"
"Towards Learning Multi-Agent Negotiations via Self-Play","Y. Tang","Apple Inc, USA","2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW)","5 Mar 2020","2019","","","2427","2435","Making sophisticated, robust, and safe sequential decisions is at the heart of intelligent systems. This is especially critical for planning in complex multi-agent environments, where agents need to anticipate other agents' intentions and possible future actions. Traditional methods formulate the problem as a Markov Decision Process, but the solutions often rely on various assumptions and become brittle when presented with corner cases. In contrast, deep reinforcement learning (Deep RL) has been very effective at finding policies by simultaneously exploring, interacting, and learning from environments. Leveraging the powerful Deep RL paradigm, we demonstrate that an iterative procedure of self-play can create progressively more diverse environments, leading to the learning of sophisticated and robust multi-agent policies. We demonstrate this in a challenging multi-agent simulation of merging traffic, where agents must interact and negotiate with others in order to successfully merge on or off the road. While the environment starts off simple, we increase its complexity by iteratively adding an increasingly diverse set of agents to the agent zoo as training progresses. Qualitatively, we find that through self-play, our policies automatically learn interesting behaviors such as defensive driving, overtaking, yielding, and the use of signal lights to communicate intentions to other agents. In addition, quantitatively, we show a dramatic improvement in the success rate of merging maneuvers from 63% to over 98%.","2473-9944","978-1-7281-5023-9","10.1109/ICCVW.2019.00297","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022183","Deep Reinforcement Learning;Autonomous Driving;Multi agent Systems;Self Play","Roads;Games;Robustness;Planning;Complexity theory;Training;Learning (artificial intelligence)","decision theory;learning (artificial intelligence);Markov processes;multi-agent systems","sophisticated decisions;safe sequential decisions;intelligent systems;complex multiagent environments;Markov decision process;corner cases;deep reinforcement learning;iterative procedure;diverse environments;multiagent simulation;deep RL paradigm;multiagent negotiations learning;self-play","","10","","35","IEEE","5 Mar 2020","","","IEEE","IEEE Conferences"
"Crowd Counting on Images with Scale Variation and Isolated Clusters","H. Bai; S. Wen; S. . -H. G. Chan","Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China; Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China; Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China","2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW)","5 Mar 2020","2019","","","18","27","Crowd counting is to estimate the number of objects (e.g., people or vehicles) in an image of unconstrained congested scenes. Designing a general crowd counting algorithm applicable to a wide range of crowd images is challenging, mainly due to the possibly large variation in object scales and the presence of many isolated small clusters. Previous approaches based on convolution operations with multi-branch architecture are effective for only some narrow bands of scales, and have not captured the long-range contextual relationship due to isolated clustering. To address that, we propose SACANet, a novel scale-adaptive long-range context-aware network for crowd counting. SACANet consists of three major modules: the pyramid contextual module which extracts long-range contextual information and enlarges the receptive field, a scale-adaptive self-attention multi-branch module to attain high scale sensitivity and detection accuracy of isolated clusters, and a hierarchical fusion module to fuse multi-level self-attention features. With group normalization, SACANet achieves better optimality in the training process. We have conducted extensive experiments using the VisDrone2019 People dataset, the VisDrone2019 Vehicle dataset, and some other challenging benchmarks. As compared with the state-of-the-art methods, SACANet is shown to be effective, especially for extremely crowded conditions with diverse scales and scattered clusters, and achieves much lower MAE as compared with baselines.","2473-9944","978-1-7281-5023-9","10.1109/ICCVW.2019.00009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022196","Crowd Counting;Scale Variation;Isolated Clusters","Feature extraction;Surveillance;Cameras;Estimation;Data mining;Drones;Convolution","feature extraction;image classification;image segmentation;object detection;pattern clustering","VisDrone2019 Vehicle dataset;VisDrone2019 People dataset;scale-adaptive long-range context-aware network;crowd counting algorithm;isolated clustering;long-range contextual relationship;multibranch architecture;isolated small clusters;crowd images;unconstrained congested scenes;scattered clusters;extremely crowded conditions;multilevel self-attention features;hierarchical fusion module;high scale sensitivity;scale-adaptive self-attention multibranch module;long-range contextual information;pyramid contextual module;SACANet","","11","","38","IEEE","5 Mar 2020","","","IEEE","IEEE Conferences"
"DECCNet: Depth Enhanced Crowd Counting","S. -D. Yang; H. -T. Su; W. H. Hsu; W. -C. Chen",National Taiwan University; National Taiwan University; National Taiwan University; National Taiwan University,"2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW)","5 Mar 2020","2019","","","4521","4530","Crowd counting which aims to calculate the number of total instances on an image is a classic but crucial task that supports many applications. Most of the prior works are based on the RGB channels on the images and achieve satisfied performance. However, previous approaches suffer from counting highly congested region due to the incomplete and blurry shapes. In this paper, we present an effective crowd counting method, Depth Enhanced Crowd Counting Network (DECCNet), which leverages the estimated depth information with our novel Bidirectional Cross-modal Attention (BCA) mechanism. Utilizing the depth information enables our model to explicitly learn to pay attention to those congested regions on the basis of the depth information. Our BCA mechanism interactively fuses two different input modalities by learning to focus on the informative parts according to each other. In our experiments, we demonstrate that DECCNet outperforms the state-of-the-art on the two largest crowd counting datasets available, including UCF-QNRF, which has the highest crowd density. The visualized result shows that our method can accurately regress dense regions through leveraging depth information. Ablation studies also indicate that each component of our method is beneficial to final prediction.","2473-9944","978-1-7281-5023-9","10.1109/ICCVW.2019.00553","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022022","crowd counting;cross modal fusion;RGBD","Decoding;Convolution;Estimation;Task analysis;Fuses;Feature extraction;Image color analysis","feature extraction;image colour analysis;learning (artificial intelligence);neural nets;object detection;regression analysis","UCF-QNRF;crowd counting datasets;bidirectional cross-modal attention mechanism;depth enhanced crowd counting network;blurry shapes;RGB channels;BCA mechanism;DECCNet","","5","","45","IEEE","5 Mar 2020","","","IEEE","IEEE Conferences"
"Characterizing Scattered Occlusions for Effective Dense-Mode Crowd Counting","K. J. Almalki; B. -Y. Choi; Y. Chen; S. Song","School of Computing and Engineering, University of Missouri, Kansas City, MO, USA; School of Computing and Engineering, University of Missouri, Kansas City, MO, USA; Binghamton University, Binghamton, NY, USA; School of Computing and Engineering, University of Missouri, Kansas City, MO, USA","2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)","24 Nov 2021","2021","","","3833","3842","We propose a novel deep learning approach for effective dense crowd counting by characterizing scattered occlusions, named CSONet. CSONet recognizes the implications of event-induced, scene-embedded, and multitudinous obstacles such as umbrellas and picket signs to achieve an accurate crowd analysis result. CSONet is the first deep learning model for characterizing scattered occlusions of effective dense-mode crowd counting to the best of our knowledge. We have collected and annotated two new scattered occlusion object datasets, which contain crowd images occluded with umbrellas (csoumbrellas dataset) and picket signs (cso-pickets dataset). We have designed and implemented a new crowd overfit reduction network by adding both spatial pyramid pooling and dilated convolution layers over modified VGG16 for capturing high-level features of extended receptive fields. CSONet was trained on the two new scattered occlusion datasets and the ShanghaiTech A and B datasets. We also have built an algorithm that merges scattered object maps and density heatmaps of visible humans to generate a more accurate crowd density heatmap output. Through extensive evaluations, we demonstrate that the accuracy of CSONet with scattered occlusion images outperforms over the state-of-art existing crowd counting approaches by 30% to 100% in both mean absolute error and mean square error.","2473-9944","978-1-6654-0191-3","10.1109/ICCVW54120.2021.00428","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9607560","","Heating systems;Deep learning;Computer vision;Convolution;Conferences;Mean square error methods;Computer architecture","deep learning (artificial intelligence);image classification","effective dense-mode crowd counting;picket signs;deep learning model;scattered occlusion object datasets;crowd images;crowd overfit reduction network;scattered occlusion images;crowd density heatmap output accuracy;CSONet;cso-umbrellas dataset;spatial pyramid pooling;dilated convolution layers","","3","","43","IEEE","24 Nov 2021","","","IEEE","IEEE Conferences"
"Pushing the Frontiers of Unconstrained Crowd Counting: New Dataset and Benchmark Method","V. Sindagi; R. Yasarla; V. Patel","Johns Hopkins University; Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA; Johns Hopkins University","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","27 Feb 2020","2019","","","1221","1231","In this work, we propose a novel crowd counting network that progressively generates crowd density maps via residual error estimation. The proposed method uses VGG16 as the backbone network and employs density map generated by the final layer as a coarse prediction to refine and generate finer density maps in a progressive fashion using residual learning. Additionally, the residual learning is guided by an uncertainty-based confidence weighting mechanism that permits the flow of only high-confidence residuals in the refinement path. The proposed Confidence Guided Deep Residual Counting Network (CG-DRCN) is evaluated on recent complex datasets, and it achieves significant improvements in errors. Furthermore, we introduce a new large scale unconstrained crowd counting dataset (JHU-CROWD) that is ~2.8 larger than the most recent crowd counting datasets in terms of the number of images. It contains 4,250 images with 1.11 million annotations. In comparison to existing datasets, the proposed dataset is collected under a variety of diverse scenarios and environmental conditions. Specifically, the dataset includes several images with weather-based degradations and illumination variations in addition to many distractor images, making it a very challenging dataset. Additionally, the dataset consists of rich annotations at both image-level and head-level. Several recent methods are evaluated and compared on this dataset.","2380-7504","978-1-7281-4803-8","10.1109/ICCV.2019.00131","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009496","","Image resolution;Task analysis;Training;Head;Estimation;Benchmark testing;Error analysis","feature extraction;image classification;learning (artificial intelligence);object detection;video surveillance","benchmark method;crowd counting network;crowd density maps;residual error estimation;backbone network;finer density maps;residual learning;uncertainty-based confidence weighting mechanism;high-confidence residuals;refinement path;complex datasets;challenging dataset;confidence guided deep residual counting network;large scale unconstrained crowd counting dataset;weather-based degradations;illumination variations;distractor images","","44","","65","IEEE","27 Feb 2020","","","IEEE","IEEE Conferences"
"VisDrone-CC2021: The Vision Meets Drone Crowd Counting Challenge Results","Z. Liu; Z. He; L. Wang; W. Wang; Y. Yuan; D. Zhang; J. Zhang; P. Zhu; L. V. Gool; J. Han; S. Hoi; Q. Hu; M. Liu; J. Pan; B. Yin; B. Zhang; C. Liu; D. Ding; D. Liang; G. Ding; H. Lu; H. Lin; J. Chen; J. Li; L. Liu; L. Zhou; M. Shi; Q. Yang; Q. He; S. Peng; W. Xu; W. Han; X. Bai; X. Chen; Y. Wang; Y. Xia; Y. Tao; Z. Chen; Z. Cao","Tianjin University, Tianjin, China; The Hong Kong University of Science and Technology, Hong Kong, China; The Hong Kong University of Science and Technology, Hong Kong, China; ETH Zurich, Zurich, Switzerland; City University of Hong Kong, Hong Kong, China; Northwestern Polytechnical University, Xian, China; Nanjing University of Information Science and Technology, Nanjing, China; Tianjin University, Tianjin, China; ETH Zurich, Zurich, Switzerland; Northwestern Polytechnical University, Xian, China; Singapore Management University, Singapore; Tianjin University, Tianjin, China; The Hong Kong University of Science and Technology, Hong Kong, China; Tianjin University, Tianjin, China; University of Science and Technology of China, Hefei, China; Beijing University of Posts and Telecommunications, Beijing, China; Huazhong University of Science and Technology, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; Wuhan University, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; Xi’an Jiaotong University, Xi’an, China; Wuhan University, Wuhan, China; Xi’an Jiaotong University, Xi’an, China; Huazhong University of Science and Technology, Wuhan, China; Wuhan University, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; University of Science and Technology of China, Hefei, China; University of Science and Technology of China, Hefei, China; University of Science and Technology of China, Hefei, China; Beijing University of Posts and Telecommunications, Beijing, China; Wuhan University, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; Xi’an Jiaotong University, Xi’an, China; University of Science and Technology of China, Hefei, China; Wuhan University, Wuhan, China; Wuhan University, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China","2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)","24 Nov 2021","2021","","","2830","2838","Crowding counting research evolves quickly by the lever-age of development in deep learning. Many researchers put their efforts into crowd counting tasks and have achieved many significant improvements. However, current datasets still barely satisfy this evolution and high quality evaluation data is urgent. Motivated by high quality and quantity study in crowding counting, we collect a drone-captured dataset formed by 5,468 images(images in RGB and thermal appear in pairs and 2,734 respectively). There are 1,807 pairs of images for training, and 927 pairs for testing. We manually annotate persons with points in each frame. Based on this dataset, we organized the Vision Meets Drone Crowd Counting Challenge(Visdrone-CC2021) in conjunction with the International Conference on Computer Vision (ICCV 2021). Our challenge attracts many researchers to join, which pave the road of speed up the milestone in crowding counting. To summarize the competition, we select the most remarkable algorithms from participants’ sub-missions and provide a detailed analysis of the evaluation results. More information can be found at the website: http://www.aiskyeye.com/.","2473-9944","978-1-6654-0191-3","10.1109/ICCVW54120.2021.00317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9607764","","Training;Deep learning;Computer vision;Roads;Conferences;Data mining;Task analysis","autonomous aerial vehicles;image colour analysis;image motion analysis;learning (artificial intelligence);object detection;robot vision;visual databases","VisDrone-CC2021;counting research;deep learning;crowd counting tasks;high quality evaluation data;crowding counting;drone-captured dataset;computer vision;ICCV 2021;RGB images;thermal images;Vision Meets Drone Crowd Counting Challenge","","10","","31","IEEE","24 Nov 2021","","","IEEE","IEEE Conferences"
"Audio-Visual Transformer Based Crowd Counting","U. Sajid; X. Chen; H. Sajid; T. Kim; G. Wang","Electrical Engineering and Computer Science, University of Kansas, Lawrence, KS, USA; Electrical Engineering and Computer Science, University of Kansas, Lawrence, KS, USA; School of Mechanical and Manufacturing Engineering, NUST, Islamabad, Pakistan; Electrical Engineering and Computer Science, University of Kansas, Lawrence, KS, USA; Department of Computer Science, Ryerson University, Toronto, ON, Canada","2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)","24 Nov 2021","2021","","","2249","2259","Crowd estimation is a very challenging problem. The most recent study tries to exploit auditory information to aid the visual models, however, the performance is limited due to the lack of an effective approach for feature extraction and integration. The paper proposes a new audiovisual multi-task network to address the critical challenges in crowd counting by effectively utilizing both visual and audio inputs for better modalities association and productive feature extraction. The proposed network introduces the notion of auxiliary and explicit image patch-importance ranking (PIR) and patch-wise crowd estimate (PCE) information to produce a third (run-time) modality. These modalities (audio, visual, run-time) undergo a transformer-inspired cross-modality co-attention mechanism to finally output the crowd estimate. To acquire rich visual features, we propose a multi-branch structure with transformer-style fusion in-between. Extensive experimental evaluations show that the proposed scheme outperforms the state-of-the-art networks under all evaluation settings with up to 33.8% improvement. We also analyze and compare the vision-only variant of our network and empirically demonstrate its superiority over previous approaches.","2473-9944","978-1-6654-0191-3","10.1109/ICCVW54120.2021.00254","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9607793","","Visualization;Computer vision;Conferences;Computational modeling;Estimation;Benchmark testing;Feature extraction","feature extraction;image fusion;image motion analysis","audio-visual transformer;crowd counting;crowd estimation;auditory information;audiovisual multitask network;modalities association;productive feature extraction;transformer-inspired cross-modality co-attention mechanism;visual features;multibranch structure;transformer-style fusion;explicit image patch-importance ranking;PIR;patch-wise crowd estimate information;PCE;vision-only variant","","8","","60","IEEE","24 Nov 2021","","","IEEE","IEEE Conferences"
