"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Probabilistic Dynamic Crowd Prediction for Social Navigation","S. H. Kiss; K. Katuwandeniya; A. Alempijevic; T. Vidal-Calleja","University of Technology, Sydney, NSW, Australia; University of Technology, Sydney, NSW, Australia; University of Technology, Sydney, NSW, Australia; University of Technology, Sydney, NSW, Australia","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","9269","9275","In this paper, we present a novel approach that predicts spatially and temporally crowd behaviour for robotic social navigation. Integrating mobile robots into human society involves the fundamental problem of navigation in crowds. A robot should attempt to navigate in a way that is minimally invasive to the humans in its environment. However, planning in a dynamic environment is difficult as the environment must be predicted into the future. This problem has been thoroughly studied considering the behaviour of pedestrians at the level of individuals. Instead, we represent a pedestrian crowd by its macroscopic properties over space, such as density and velocity. With this spatial representation, we propose to learn a convolutional recurrent model to predict these properties into the future. The key design of a probabilistic loss function capturing the crowd's macroscopic properties empowers the spatio-temporal crowd prediction. Using a social invasiveness metric defined on these properties predicted by our convolutional recurrent model, we develop a framework that produces globally-optimal plans in expectation. Extensive results using a realistic pedestrian simulator show the validity and performance of the proposed social navigation approach.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561053","","Measurement;Uncertainty;Minimally invasive surgery;Navigation;Predictive models;Probabilistic logic;Search problems","estimation theory;human-robot interaction;learning (artificial intelligence);mobile robots;navigation;object detection;object tracking;pedestrians;probability;spatiotemporal phenomena;video signal processing","probabilistic dynamic crowd prediction;crowd behaviour;robotic social navigation;mobile robots;human society;fundamental problem;dynamic environment;pedestrian crowd;macroscopic properties;spatial representation;convolutional recurrent model;probabilistic loss function;spatio-temporal crowd prediction;social invasiveness metric;globally-optimal plans;realistic pedestrian simulator;social navigation approach","","5","","29","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Online Social Robot Navigation in Indoor, Large and Crowded Environments","S. Silva; N. Verdezoto; D. Paillacho; S. Millan-Norman; J. D. Hernández","School of Computer Science & Informatics at Cardiff University, UK; School of Computer Science & Informatics at Cardiff University, UK; Research Development and Innovation Center of Computer Systems - CIDIS at ESPOL Polytechnic University, Ecuador; School of Computer Science & Informatics at Cardiff University, UK; School of Computer Science & Informatics at Cardiff University, UK","2023 IEEE International Conference on Robotics and Automation (ICRA)","4 Jul 2023","2023","","","9749","9756","New robotics applications require robots to complete tasks in social spaces (i.e. environments shared with people), thus arising the necessity of enabling robots to operate in a socially acceptable manner. Some social spaces tend to be large and crowded (e.g. museums, shopping malls), which require robots to move around while showing appropriate social behaviors (e.g. not interfering with human's comfortable areas). Moving under such conditions is generally called social robot navigation, and there are different approaches to do so. Nonetheless, current approaches are mostly limited to navigate large and outdoor spaces, where both robots and people can easily avoid each other. Other approaches have been tested in indoor environments, however, the test environments tend to be small and largely empty. In this paper, we present an online social robot navigation framework, which allow robots to navigate indoor, large and crowded environments, while showing social behaviors. Our framework consists of 3 modules: 1) world modeling that incorporates a novel Social Heatmap (SH) to represent crowded areas, 2) multilayered path planning that uses sampling-based approaches, and 3) path following control. We extensively benchmark our approach against state-of-the-art approaches in challenging simulated scenarios, and $w$ e also demonstrate its feasibility with the Pepper robot in real-world trials.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10160603","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160603","","Heating systems;Automation;Navigation;Social robots;Benchmark testing;Path planning;Museums","human-robot interaction;mobile robots;path planning","appropriate social behaviors;crowded environments;indoor environments;new robotics applications;online social robot navigation framework;Pepper robot;Social Heatmap;social spaces;socially acceptable manner;test environments","","","","50","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Unfreezing Social Navigation: Dynamical Systems based Compliance for Contact Control in Robot Navigation","D. Paez-Granados; V. Gupta; A. Billard","LASA, EPFL, SCAI Lab at SPZ, ETH Zurich, Switzerland; Learning Algorithms and Systems Laboratory (LASA), Swiss Federal School of Technology in Lausanne - EPFL, Switzerland; Learning Algorithms and Systems Laboratory (LASA), Swiss Federal School of Technology in Lausanne - EPFL, Switzerland","2022 International Conference on Robotics and Automation (ICRA)","12 Jul 2022","2022","","","8368","8374","Large efforts have focused on ensuring that the controllers for mobile service robots follow proxemics and other social rules to ensure both safe and socially acceptable distance to pedestrians. Nonetheless, involuntary contact may be unavoidable when the robot travels in crowded areas or when encountering adversarial pedestrians. Freezing the robot in response to contact might be detrimental to bystanders' safety and prevents it from achieving its task. Unavoidable contacts must hence be controlled to ensure the safe and smooth travelling of robots in pedestrian alleys. We present a force-limited and obstacle avoidance controller integrated into a time-invariant dynamical system (DS) in a closed-loop force controller that let the robot react instantaneously to contact or to the sudden appearance of pedestrians. Mitigating the risk of collision is done by modulating the velocity commands upon detecting a contact and by absorbing part of the contact force through active compliant control when the robot bumps inad-vertently against a pedestrian. We evaluated our method with a personal mobility robot -Qolo- showing contact mitigation with passive and active compliance. We showed the robot able to overcome an adversarial pedestrian within 9 N of the set limit contact force for speeds under 1 m/s. Moreover, we evaluated integrated obstacle avoidance proving the ability to advance without Incurring any other collision.","","978-1-7281-9681-7","10.1109/ICRA46639.2022.9811772","EPFL(grant numbers:HREC-032-2019); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9811772","Mobile Service Robots;Human-Robot Interaction;Force control;Compliance and Impedance Control","Automation;Navigation;Service robots;Force;Safety;Impedance;Collision avoidance","closed loop systems;collision avoidance;force control;mobile robots;pedestrians;service robots","dynamical systems based compliance;contact control;robot navigation;mobile service robots;social rules;socially acceptable distance;involuntary contact;unavoidable contacts;pedestrian alleys;obstacle avoidance controller;time-invariant dynamical system;closed-loop force controller;contact force;active compliant control;robot bumps;personal mobility robot;contact mitigation;passive compliance;social navigation unfreezing;proxemics;force-limited controller;personal mobility robot-Qolo","","3","","30","IEEE","12 Jul 2022","","","IEEE","IEEE Conferences"
"Towards Safe Navigation Through Crowded Dynamic Environments","Z. Xie; P. Xin; P. Dames","Department of Mechanical Engineering, Temple University, Philadelphia, PA, USA; Department of Mechanical Engineering, Temple University, Philadelphia, PA, USA; Department of Mechanical Engineering, Temple University, Philadelphia, PA, USA","2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","16 Dec 2021","2021","","","4934","4940","This paper proposes a novel neural network-based control policy to enable a mobile robot to navigate safety through environments filled with both static obstacles, such as tables and chairs, and dense crowds of pedestrians. The network architecture uses early fusion to combine a short history of lidar data with kinematic data about nearby pedestrians. This kinematic data is key to enable safe robot navigation in these uncontrolled, human-filled environments. The network is trained in a supervised setting, using expert demonstrations to learn safe navigation behaviors. A series of experiments in detailed simulated environments demonstrate the efficacy of this policy, which is able to achieve a higher success rate than either standard model-based planners or state-of-the-art neural network control policies that use only raw sensor data.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9636102","National Science Foundation; Army Research Laboratory; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636102","","Training;Laser radar;Navigation;Neural networks;Kinematics;Robot sensing systems;Data models","collision avoidance;learning systems;mobile robots;navigation;neurocontrollers;pedestrians;robot kinematics;safety;supervised learning","mobile robot;static obstacles;chairs;network architecture;lidar data;kinematic data;nearby pedestrians;safe robot navigation;supervised training;neural network control policies;sensor data;neural network-based control policy;crowded dynamic environment;human-filled environment;safe navigation behavior learning","","4","","31","IEEE","16 Dec 2021","","","IEEE","IEEE Conferences"
"Cooperative Range-only SLAM based on Sum of Gaussian Filter in Dynamic Environments","J. -H. Kim; D. Kim","Center for Intelligent Robotics Research, Robotics and Media Institute, Korea Institute of Science and Technology, Seoul, Korea; Center for Intelligent Robotics Research, Robotics and Media Institute, Korea Institute of Science and Technology, Seoul, Korea","2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","28 Jan 2020","2019","","","2139","2144","Most range-only simultaneous localization and mapping (RO-SLAM) algorithms have considered direct measurements between robot and its neighbor nodes only, even though other inter-node measurements can be actively used to improve the performance. In addition, most of them assume nodes are static, i.e., fixed on one place and cannot be applied to dynamic environments where some or all of nodes are moving. To address the aforementioned issues, a cooperative dynamic RO-SLAM (CDRO-SLAM) is proposed in this paper, which is a RO-SLAM algorithm based on sum of Gaussian (SoG) filter with cooperative measurements in dynamic environments. The proposed CDRO-SLAM integrates all the inter-node measurements for localization, which results in a smaller map estimation error with a faster convergence speed than the conventional ROSLAM. Moreover, the proposed CDRO-SLAM can also track movement of any nodes under the dynamic environment by resetting and updating the SoG variables. Such advantages of the proposed CDRO-SLAM algorithm are verified with the real experimental data.","2153-0866","978-1-7281-4004-9","10.1109/IROS40897.2019.8967646","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8967646","","","mobile robots;path planning;robot vision;SLAM (robots)","Gaussian filter;dynamic environment;range-only simultaneous localization;mapping algorithms;direct measurements;neighbor nodes;inter-node measurements;dynamic RO-SLAM;RO-SLAM algorithm;smaller map estimation error;CDRO-SLAM algorithm;range-only SLAM","","6","","18","IEEE","28 Jan 2020","","","IEEE","IEEE Conferences"
"DynamicFilter: an Online Dynamic Objects Removal Framework for Highly Dynamic Environments","T. Fan; B. Shen; H. Chen; W. Zhang; J. Pan",University of Hong Kong; Southern University of Science and Technology; Southern University of Science and Technology; Southern University of Science and Technology; University of Hong Kong,"2022 International Conference on Robotics and Automation (ICRA)","12 Jul 2022","2022","","","7988","7994","Emergence of massive dynamic objects will diversify spatial structures when robots navigate in urban environments. Therefore, the online removal of dynamic objects is critical. In this paper, we introduce a novel online removal framework for highly dynamic urban environments. The framework consists of the scan-to-map front-end and the map-to-map back-end modules. Both the front- and back-ends deeply integrate the visibility-based approach and map-based approach. The experiments validate the framework in highly dynamic simulation scenarios and real-world dataset.","","978-1-7281-9681-7","10.1109/ICRA46639.2022.9812356","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9812356","","Automation;Navigation;Urban areas;Robots","mobile robots;object detection;path planning","highly dynamic urban environments;scan-to-map front-end;map-to-map back-end modules;visibility-based approach;map-based approach;highly dynamic simulation scenarios;DynamicFilter;online dynamic;highly dynamic environments;massive dynamic objects;spatial structures;robots navigate;novel online removal framework","","5","","21","IEEE","12 Jul 2022","","","IEEE","IEEE Conferences"
"Dynamic Lambda-Field: A Counterpart of the Bayesian Occupancy Grid for Risk Assessment in Dynamic Environments","J. Laconte; E. Randriamiarintsoa; A. Kasmi; F. Pomerleau; R. Chapuis; C. Debain; R. Aufrère","Cnrs, Clermont Auvergne INP, Institut Pascal, Université Clermont Auvergne, Clermont-Ferrand, France; Cnrs, Clermont Auvergne INP, Institut Pascal, Université Clermont Auvergne, Clermont-Ferrand, France; Cnrs, Clermont Auvergne INP, Institut Pascal, Université Clermont Auvergne, Clermont-Ferrand, France; Northern Robotics Laboratory, Université Laval, Canada; Cnrs, Clermont Auvergne INP, Institut Pascal, Université Clermont Auvergne, Clermont-Ferrand, France; Inrae, UR Tscf, Université Clermont Auvergne, France; Cnrs, Clermont Auvergne INP, Institut Pascal, Université Clermont Auvergne, Clermont-Ferrand, France","2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","16 Dec 2021","2021","","","4846","4853","In the context of autonomous vehicles, one of the most crucial tasks is to estimate the risk of the undertaken action. While navigating in complex urban environments, the Bayesian occupancy grid is one of the most popular types of maps, where the information of occupancy is stored as the probability of collision. Although widely used, this kind of representation is not well suited for risk assessment: because of its discrete nature, the probability of collision becomes dependent on the tessellation size. Therefore, risk assessments on Bayesian occupancy grids cannot yield risks with meaningful physical units. In this article, we propose an alternative framework called Dynamic Lambda-Field that is able to assess generic physical risks in dynamic environments without being dependent on the tessellation size. Using our framework, we are able to plan safe trajectories where the risk function can be adjusted depending on the scenario. We validate our approach with quantitative experiments, showing the convergence speed of the grid and that the framework is suitable for real-world scenarios.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9636804","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636804","","Navigation;Urban areas;Particle measurements;Real-time systems;Bayes methods;Trajectory;Risk management","Bayes methods;collision avoidance;mobile robots;probability;risk management","Bayesian occupancy grid;risk assessment;tessellation size;risk function;dynamic lambda-field framework;risk estimation;collision probability","","1","","16","IEEE","16 Dec 2021","","","IEEE","IEEE Conferences"
"Dynamic-GAN: Learning Spatial-Temporal Attention for Dynamic Object Removal in Feature Dense Environments","C. M. Trombley; S. Kumar Das; D. O. Popa","Louisville Automation and Robotics Institute (LARRI), University of Louisville in Kentucky, USA; Louisville Automation and Robotics Institute (LARRI), University of Louisville in Kentucky, USA; Louisville Automation and Robotics Institute (LARRI), University of Louisville in Kentucky, USA","2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","26 Dec 2022","2022","","","12189","12195","This paper presents an attention-based, deep learning framework that converts robot camera frames with dynamic content into static frames to more easily apply simultaneous localization and mapping (SLAM) algorithms. The vast majority of SLAM methods have difficulty in the presence of dynamic objects appearing in the environment and occluding the area being captured by the camera. Despite past attempts to deal with dynamic objects, challenges remain to reconstruct large, occluded areas with complex backgrounds. Our proposed Dynamic-GAN framework employs a generative adversarial network to remove dynamic objects from a scene and inpaint a static image free of dynamic objects. The Dynamic-GAN framework utilizes spatial-temporal transformers, and a novel spatial-temporal loss function. The evaluation of Dynamic-GAN was comprehensively conducted both quantitatively and qualitatively by testing it on benchmark datasets, and on a mobile robot in indoor navigation environments. As people appeared dynamically in close proximity to the robot, results showed that large, feature-rich occluded areas can be accurately reconstructed with our attention-based deep learning framework for dynamic object removal. Through experiments we demonstrate that our proposed algorithm has up to 25% better performance on average as compared to the standard benchmark algorithms.","2153-0866","978-1-6654-7927-1","10.1109/IROS47612.2022.9981102","NSF(grant numbers:2026584,1849213); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981102","","Deep learning;Simultaneous localization and mapping;Heuristic algorithms;Robot vision systems;Benchmark testing;Cameras;Transformers","cameras;feature extraction;image motion analysis;learning (artificial intelligence);mobile robots;object detection;object tracking;robot vision;SLAM (robots);video signal processing","attention-based deep learning framework;dynamic content;dynamic object removal;dynamic objects;Dynamic-GAN framework;feature-rich occluded areas;novel spatial-temporal loss function;robot camera frames;spatial-temporal attention","","","","44","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"Crowd-Robot Interaction: Crowd-Aware Robot Navigation With Attention-Based Deep Reinforcement Learning","C. Chen; Y. Liu; S. Kreiss; A. Alahi","VITA, Ecole Polytechnique Federal de Lausanne, EPFL, Switzerland; VITA, Ecole Polytechnique Federal de Lausanne, EPFL, Switzerland; VITA, Ecole Polytechnique Federal de Lausanne, EPFL, Switzerland; VITA, Ecole Polytechnique Federal de Lausanne, EPFL, Switzerland","2019 International Conference on Robotics and Automation (ICRA)","12 Aug 2019","2019","","","6015","6022","Mobility in an effective and socially-compliant manner is an essential yet challenging task for robots operating in crowded spaces. Recent works have shown the power of deep reinforcement learning techniques to learn socially cooperative policies. However, their cooperation ability deteriorates as the crowd grows since they typically relax the problem as a one-way Human-Robot interaction problem. In this work, we want to go beyond first-order Human-Robot interaction and more explicitly model Crowd-Robot Interaction (CRI). We propose to (i) rethink pairwise interactions with a self-attention mechanism, and (ii) jointly model Human-Robot as well as Human-Human interactions in the deep reinforcement learning framework. Our model captures the Human-Human interactions occurring in dense crowds that indirectly affects the robot's anticipation capability. Our proposed attentive pooling mechanism learns the collective importance of neighboring humans with respect to their future states. Various experiments demonstrate that our model can anticipate human dynamics and navigate in crowds with time efficiency, outperforming state-of-the-art methods.","2577-087X","978-1-5386-6027-0","10.1109/ICRA.2019.8794134","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8794134","","Robots;Navigation;Reinforcement learning;Planning;Task analysis;Human-robot interaction;Biological system modeling","human-robot interaction;learning (artificial intelligence);mobile robots;neural nets;pedestrians","crowded spaces;Human-Human interactions;deep reinforcement learning framework;dense crowds;human dynamics;crowd-aware robot navigation;attention-based deep reinforcement learning;robot operations;crowd-robot interaction","","215","","52","IEEE","12 Aug 2019","","","IEEE","IEEE Conferences"
"Crowd against the machine: A simulation-based benchmark tool to evaluate and compare robot capabilities to navigate a human crowd","F. Grzeskowiak; D. Gonon; D. Dugas; D. Paez-Granados; J. J. Chung; J. Nieto; R. Siegwart; A. Billard; M. Babel; J. Pettré","Univ Rennes Inria CNRS IRISA, Rennes, France; EPFL, Lausanne, Switzerland; ETH, Zürich, Switzerland; EPFL, Lausanne, Switzerland; ETH, Zürich, Switzerland; ETH, Zürich, Switzerland; ETH, Zürich, Switzerland; EPFL, Lausanne, Switzerland; Univ Rennes Inria CNRS IRISA, Rennes, France; Univ Rennes Inria CNRS IRISA, Rennes, France","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","3879","3885","The evaluation of robot capabilities to navigate human crowds is essential to conceive new robots intended to operate in public spaces. This paper initiates the development of a benchmark tool to evaluate such capabilities; our long term vision is to provide the community with a simulation tool that generates virtual crowded environment to test robots, to establish standard scenarios and metrics to evaluate navigation techniques in terms of safety and efficiency, and thus, to install new methods to benchmarking robots’ crowd navigation capabilities. This paper presents the architecture of the simulation tools, introduces first scenarios and evaluation metrics, as well as early results to demonstrate that our solution is relevant to be used as a benchmark tool.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561694","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561694","","Measurement;Navigation;Tools;Benchmark testing;Robot sensing systems;Software;Sensors","computer simulation;control engineering computing;mobile robots;path planning","simulation-based benchmark tool;robot navigation;human crowd;public spaces;virtual crowded environment;evaluation metrics;mobile robots","","7","","21","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
