Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Risk-Based Human-Aware Multi-Robot Coordination in Dynamic Environments Shared with Humans,Z. Talebpour; A. Martinoli,"Civil and Environmental Engineering, School of Architecture, Lausanne, Switzerland; Civil and Environmental Engineering, School of Architecture, Lausanne, Switzerland",2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),6-Jan-19,2018,,,3365,3372,"In this paper, we propose a risk-based coordination method for the Multi-Robot Task Allocation (MRTA) problem in human-populated environments. We introduce risk-based bids that incorporate human trajectory prediction uncertainties and furthermore, social costs in their formulation. We demonstrate the effectiveness of including a predictive component in the risk formulation despite the lack of accurate position estimation for humans through an extensive suite of experiments. This is done by means of testing different levels of prediction error for known human trajectories and in a separate approach, using a Kalman filter for human trajectory estimation. Furthermore, we propose different risk formulations and evaluate their performance in a high-fidelity simulator. Additionally, a comparative study targeting human-agnostic planning at both navigation and planning levels, human-aware navigation and planning based on deterministic costs, and risk-based human-aware planning with no individual human-aware navigation has been conducted. Results confirm that risk-based bids lead to more socially acceptable team plans that reduce the need for the lower level individual human-aware navigation to be activated. Risk-based plans accounting for social costs prevent difficult social situations that can lead to less effective human-aware navigation, such as traversing narrow passages occupied by humans.",2153-0866,978-1-5386-8094-0,10.1109/IROS.2018.8593586,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593586,,Robot kinematics;Task analysis;Navigation;Planning;Uncertainty;Estimation,human-robot interaction;Kalman filters;mobile robots;multi-robot systems;path planning;risk analysis;trajectory control,risk-based human-aware multirobot coordination;dynamic environments;human-populated environments;Kalman filter;position estimation;MRTA problem;human trajectory prediction;multirobot task allocation problem;human-aware navigation;risk-based bids;risk-based human-aware planning;human-agnostic planning;prediction error,,4,,29,IEEE,6-Jan-19,,,IEEE,IEEE Conferences
"Range-limited, Distributed Algorithms on Higher-Order Voronoi Partitions in Multi-Robot Systems",L. Kong; Q. Liu; C. B. Yu,"Optus-Curtin Centre of Execellence in Artificial Intelligence, Curtin University, Australia and the Australian National University; Chair of Information-Oriented Control, Technical University of Munich, Munich, Germany; Optus-Curtin Centre of Execellence in Artificial Intelligence, Curtin University, Australia and the Australian National University",2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),28-Jan-20,2019,,,6541,6546,"This paper studies the problem of distributed computation of higher order Voronoi partition over a bounded region by a group of robots with both range-limited visibility sensors and communication devices. We model the sensing and communication capabilities by discs with limited radius. Motivated by the concept of dominating region in higher-order Voronoi partition, we propose a detecting ray based algorithm, which computes the boundary points of the dominating region of a robot in an omnidirectional manner, with local position information of its neighbors within the communication range. Simulations are provided to demonstrate the performance of our proposed algorithm by using a thirteen-robot group.",2153-0866,978-1-7281-4004-9,10.1109/IROS40897.2019.8968501,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968501,,,computational geometry;distributed algorithms;mobile robots;multi-robot systems,higher-order Voronoi partition;dominating region;communication range;thirteen-robot group;distributed algorithms;higher-order voronoi partitions;multirobot systems;distributed computation;higher order Voronoi partition;range-limited visibility sensors;communication devices;detecting ray based algorithm,,2,,20,IEEE,28-Jan-20,,,IEEE,IEEE Conferences
Multi-Robot Coordinated Planning in Confined Environments under Kinematic Constraints,C. Mangette; P. Tokekar,"Department of Electrical and Computer Engineering, Virginia Tech, U.S.A.; Department of Computer Science, University of Maryland, U.S.A.",2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10-Feb-21,2020,,,7999,8004,"We investigate the problem of multi-robot coordinated planning in environments where the robots may have to operate in close proximity to each other. We seek computationally efficient planners that ensure safe paths and adherence to kinematic constraints. We extend the central planner dRRT* with our variant, fast-dRRT (fdRRT), with the intention being to use in tight environments that lead to a high degree of coupling between robots. Our algorithm is empirically shown to achieve the trade-off between computational time and solution quality, especially in tight environments. We also demonstrate the ability of our algorithm to be adapted to the online planning problem while maintaining computational efficiency. The software implementation is available online at https://github.com/CMangette/Fast-dRRT.",2153-0866,978-1-7281-6212-6,10.1109/IROS45743.2020.9341213,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341213,,Robot kinematics;Software algorithms;Kinematics;Software;Planning;Computational efficiency;Intelligent robots,mobile robots;multi-robot systems;path planning;robot kinematics;search problems,multirobot coordinated planning;confined environments;kinematic constraints;computationally efficient planners;safe paths;dRRT* central planner;tight environments;computational time;online planning problem;computational efficiency;fast-dRRT;fdRRT,,,,21,IEEE,10-Feb-21,,,IEEE,IEEE Conferences
Generation of Context-Dependent Policies for Robot Rescue Decision-Making in Multi-Robot Teams,S. Al-Hussaini; J. M. Gregory; S. K. Gupta,"Viterbi School of Engineering, University of Southern California, CA, USA; U.S. Army Research Laboratory, Adelphi, MD, USA; Viterbi School of Engineering, University of Southern California, CA, USA",2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),6-Jan-19,2018,,,4317,4324,"We propose a scalable, parallelizable policy synthesis framework intended for a robot presented with the decision of exploration or rescue, given some time-varying, stochastic mission conditions, referred to as context. We demonstrate the feasibility of such a solution using physics-based simulations to synthesize a policy in a computationally-efficient manner and exhibit superior performance with regards to the minimization of probability of mission failure when compared to two feasible baseline approaches. Furthermore, we present preliminary results that suggest our approach is robust to errors in the state estimation used to build mission context, which further supports the notion of real-world applicability.",2153-0866,978-1-5386-8094-0,10.1109/IROS.2018.8594114,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594114,,Robots;Task analysis;Computational modeling;State estimation;Probabilistic logic;Switches;Navigation,decision making;multi-robot systems;probability;rescue robots;robust control;state estimation,computationally-efficient manner;feasible baseline approaches;context-dependent policies;robot rescue decision-making;multirobot teams;scalable policy synthesis framework;parallelizable policy synthesis framework;time-varying;stochastic mission conditions;physics-based simulations;probability minimization;state estimation,,7,,20,IEEE,6-Jan-19,,,IEEE,IEEE Conferences
Key-frame Selection for Multi-robot Simultaneous Localization and Tracking in Robot Soccer Field,W. -K. Fu; K. -L. Lin; C. -S. Shih,"Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan; Graduate Institute of Networking and Multimedia, National Taiwan University, Taipei, Taiwan; Faculty of Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan",2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),6-Jan-19,2018,,,109,116,"Optical images provide rich features but require extensive computation resources to process for SLAM. When there are limited computation resources on the robots, it becomes a heavy burden to process the images in real-time. This paper presents the design and implementation of key-frame selection algorithm for multiple robots simultaneous localization and tracking on the multi-robot soccer games which have pre-defined field and objects. Compared to traditional key-frame selection algorithms, this work makes use of the temporal and spatial relationship among objects on the pre-defined field to compute the information entropy. The selection ratio can be adjusted by two parameters: entropy threshold and the maximum moving distance. The experimental results show that the developed method can effectively detect the change of scene using selected key-frames. And comparing with the localization results using all the images, using less than 20% of all images after walking 11,203mm it only increase up to 0.87% trajectory errors.",2153-0866,978-1-5386-8094-0,10.1109/IROS.2018.8593785,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593785,,Entropy;Robot sensing systems;Object detection;Sports;Cameras;Legged locomotion,entropy;mobile robots;multi-robot systems;robot vision;SLAM (robots),traditional key-frame selection algorithms;temporal relationship;spatial relationship;pre-defined field;information entropy;selection ratio;key-frames;localization results;robot soccer field;optical images;extensive computation resources;key-frame selection algorithm;multiple robots simultaneous localization;multirobot soccer games,,3,,18,IEEE,6-Jan-19,,,IEEE,IEEE Conferences
Rapid Recovery from Robot Failures in Multi-Robot Visibility-Based Pursuit-Evasion,T. Olsen; N. M. Stiffler; J. M. O’Kane,"Department of Computer Science and Engineering, University of South Carolina, Columbia, SC, USA; Department of Computer Science, University of Dayton, Dayton, OH, USA; Department of Computer Science and Engineering, University of South Carolina, Columbia, SC, USA",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),16-Dec-21,2021,,,9734,9741,"This paper addresses the visibility-based pursuit-evasion problem where a team of pursuer robots operating in a two-dimensional polygonal space seek to establish visibility of an arbitrarily fast evader. This is a computationally challenging task for which the best known complete algorithm takes time doubly exponential in the number of robots. However, recent advances that utilize sampling-based methods have shown progress in generating feasible solutions. An aspect of this problem that has yet to be explored concerns how to ensure that the robots can recover from catastrophic failures which leave one or more robots unexpectedly incapable of continuing to contribute to the pursuit of the evader. To address this issue, we propose an algorithm that can rapidly recover from catastrophic failures. When such failures occur, a replanning occurs, leveraging both the information retained from the previous iteration and the partial progress of the search completed before the failure to generate a new motion strategy for the reduced team of pursuers. We describe an implementation of this algorithm and provide quantitative results that show that the proposed method is able to recover from robot failures more rapidly than a baseline approach that plans from scratch.",2153-0866,978-1-6654-1714-3,10.1109/IROS51168.2021.9636141,National Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636141,,Buildings;Task analysis;Robots;Intelligent robots,mobile robots;motion control;multi-robot systems;sampling methods,robot failures;rapid recovery;multirobot visibility-based pursuit-evasion;pursuer robots;two-dimensional polygonal space;computationally challenging task;complete algorithm;sampling-based methods;catastrophic failures;motion strategy,,2,,37,IEEE,16-Dec-21,,,IEEE,IEEE Conferences
"Scalable Distributed Planning for Multi-Robot, Multi-Target Tracking",M. Corah; N. Michael,"NASA Jet Propulsion Laboratory (JPL), Pasadena, CA, USA; Robotics Institute, Carnegie Mellon University (CMU), Pittsburgh, PA, USA",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),16-Dec-21,2021,,,437,444,"In multi-robot multi-target tracking, robots coordinate to monitor groups of targets moving about an environment. We approach planning for such scenarios by formulating a receding-horizon, multi-robot sensing problem with a mutual information objective. Such problems are NP-Hard in general. Yet, our objective is submodular which enables certain greedy planners to guarantee constant-factor suboptimality. However, these greedy planners require robots to plan their actions in sequence, one robot at a time, so planning time is at least proportional to the number of robots. Solving these problems becomes intractable for large teams, even for distributed implementations. Our prior work proposed a distributed planner (RSP) which reduces this number of sequential steps to a constant, even for large numbers of robots, by allowing robots to plan in parallel while ignoring some of each others’ decisions. Although that analysis is not applicable to target tracking, we prove a similar guarantee, that RSP planning approaches performance guarantees for fully sequential planners, by employing a novel bound which takes advantage of the independence of target motions to quantify effective redundancy between robots’ observations and actions. Further, we present analysis that explicitly accounts for features of practical implementations including approximations to the objective and anytime planning. Simulation results—available via open source release—for target tracking with ranging sensors demonstrate that our planners consistently approach the performance of sequential planning (in terms of position uncertainty) given only 2–8 planning steps and for as many as 96 robots with a 24x reduction in the number of sequential steps in planning. Thus, this work makes planning for multi-robot target tracking tractable at much larger scales than before, for practical planners and general tracking problems.",2153-0866,978-1-6654-1714-3,10.1109/IROS51168.2021.9636729,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636729,,Target tracking;Uncertainty;Robot kinematics;Redundancy;Robot sensing systems;Planning;Sensors,mobile robots;multi-robot systems;optimisation;path planning;position control;target tracking,general tracking problems;scalable distributed planning;multirobot multitarget tracking;multirobot sensing problem;greedy planners;planning time;distributed planner;RSP planning;fully sequential planners;target motions;open source release;sequential planning steps,,3,,38,IEEE,16-Dec-21,,,IEEE,IEEE Conferences
MR-iSAM2: Incremental Smoothing and Mapping with Multi-Root Bayes Tree for Multi-Robot SLAM,Y. Zhang; M. Hsiao; J. Dong; J. Engel; F. Dellaert,"College of Computing, Georgia Institute of Technology, Atlanta, USA; Facebook Reality Labs Research, Redmond, USA; Facebook Reality Labs Research, Redmond, USA; Facebook Reality Labs Research, Redmond, USA; College of Computing, Georgia Institute of Technology, Atlanta, USA",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),16-Dec-21,2021,,,8671,8678,"We present multi-robot iSAM2 (MR-iSAM2), an efficient incremental smoothing and mapping (iSAM) algorithm to solve multi-robot simultaneous localization and mapping (SLAM) inference problems. MR-iSAM2 is based on a novel data structure multi-root Bayes tree (MRBT), which packs multiple Bayes trees with the same undirected clique structure. In multi-robot scenarios, the MRBT enables new measurements from different robots to be updated in different root branches, while all updates are performed around the single root of the Bayes tree in the original iSAM2 algorithm. As a result, the MRBT better reveals the underlying sparsity and information flow in multi-robot SLAM inference problems than the Bayes tree. Based on this insight, we further develop MR-iSAM2 to incrementally update and maintain the sparsity structure of the MRBT and enable efficient information propagation among the roots for inter-robot inference. We analyze the properties of the MR-iSAM2 algorithm, and show with both synthetic and real world datasets that it significantly outperforms iSAM2 in efficiency when solving multi-robot SLAM problems.",2153-0866,978-1-6654-1714-3,10.1109/IROS51168.2021.9636687,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636687,,Simultaneous localization and mapping;Smoothing methods;Data structures;Inference algorithms;Optimization;Intelligent robots,Bayes methods;data structures;inference mechanisms;mobile robots;multi-robot systems;SLAM (robots);trees (mathematics),multirobot iSAM2;multirobot simultaneous localization;data structure multiroot Bayes tree;MRBT;multiple Bayes trees;undirected clique structure;multirobot scenarios;root branches;sparsity;information flow;multirobot SLAM inference problems;sparsity structure;efficient information propagation;MR-iSAM2 algorithm;interrobot inference,,2,,24,IEEE,16-Dec-21,,,IEEE,IEEE Conferences
Multi-modal User Interface for Multi-robot Control in Underground Environments,S. Chen; M. J. O'Brien; F. Talbot; J. Williams; B. Tidd; A. Pitt; R. C. Arkin,"Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, Georgia, USA; School of Interactive Computing, Georgia Institute of Technology, Atlanta, Georgia; Robotics and Autonomous Systems Group, CSIRO, Pullenvale, Queensland, Australia; Robotics and Autonomous Systems Group, CSIRO, Pullenvale, Queensland, Australia; Robotics and Autonomous Systems Group, CSIRO, Pullenvale, Queensland, Australia; Robotics and Autonomous Systems Group, CSIRO, Pullenvale, Queensland, Australia; School of Interactive Computing, Georgia Institute of Technology, Atlanta, Georgia",2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),26-Dec-22,2022,,,9995,10002,Leveraging both the autonomy of robots and the expert knowledge of humans can enable a multi-robot system to complete missions in challenging environments with a high degree of adaptivity and robustness. This paper proposes a multi-modal task-based graphical user interface for controlling a heterogeneous multi-robot team. The core of the interface is an integrated multi-robot task allocation system to allow the user to encode his/her intents to guide the heterogeneous multi-robot team. The design of the interface aims to provide the human operator continuous situational awareness and effective control for rapid decision-making in time-critical missions. Team CSIRO Data61 came in second place utilizing this interface for the DARPA Subterranean (SubT) Challenge. The ideas used for this user interface can apply to other multi-robot applications.,2153-0866,978-1-6654-7927-1,10.1109/IROS47612.2022.9981165,Defense Advanced Research Projects Agency (DARPA); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981165,,Decision making;Government;Multitasking;Robustness;Time factors;Resource management;Multi-robot systems,decision making;graphical user interfaces;groupware;mobile robots;multi-robot systems;task analysis;user interfaces,CSIRO Data61;DARPA subterranean challenge;heterogeneous multirobot team;human operator continuous situational awareness;integrated multirobot task allocation system;multimodal task-based graphical user interface;multimodal user interface;multirobot applications;multirobot control;multirobot system;rapid decision-making;SubT;underground environments,,1,,19,IEEE,26-Dec-22,,,IEEE,IEEE Conferences
Towards Safe Navigation Through Crowded Dynamic Environments,Z. Xie; P. Xin; P. Dames,"Department of Mechanical Engineering, Temple University, Philadelphia, PA, USA; Department of Mechanical Engineering, Temple University, Philadelphia, PA, USA; Department of Mechanical Engineering, Temple University, Philadelphia, PA, USA",2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),16-Dec-21,2021,,,4934,4940,"This paper proposes a novel neural network-based control policy to enable a mobile robot to navigate safety through environments filled with both static obstacles, such as tables and chairs, and dense crowds of pedestrians. The network architecture uses early fusion to combine a short history of lidar data with kinematic data about nearby pedestrians. This kinematic data is key to enable safe robot navigation in these uncontrolled, human-filled environments. The network is trained in a supervised setting, using expert demonstrations to learn safe navigation behaviors. A series of experiments in detailed simulated environments demonstrate the efficacy of this policy, which is able to achieve a higher success rate than either standard model-based planners or state-of-the-art neural network control policies that use only raw sensor data.",2153-0866,978-1-6654-1714-3,10.1109/IROS51168.2021.9636102,National Science Foundation; Army Research Laboratory; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636102,,Training;Laser radar;Navigation;Neural networks;Kinematics;Robot sensing systems;Data models,collision avoidance;learning systems;mobile robots;navigation;neurocontrollers;pedestrians;robot kinematics;safety;supervised learning,mobile robot;static obstacles;chairs;network architecture;lidar data;kinematic data;nearby pedestrians;safe robot navigation;supervised training;neural network control policies;sensor data;neural network-based control policy;crowded dynamic environment;human-filled environment;safe navigation behavior learning,,4,,31,IEEE,16-Dec-21,,,IEEE,IEEE Conferences
