Document Title,Authors,Publication Year,PDF Link,Implementation?,Abstract Summary
A Cooperative Learning Method for Multi-Agent System with Different Input Resolutions,F. Uwano,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9567835,NO,"This paper compared performance of agents with different number of hidden layers of neural networks in the single agent domain, and investigate the performance on the environment whose agents have different resolution each other in the multi-agent domain. Though Multi-Agent Reinforcement Learning seems to make advantage to apply multi-robot and more domains, this method has some problems, in particular, it cannot consider the sensor resolution in real world problem."
Memory-Based Multiagent One-Shot Learning: Extended Abstract,S. Khadka; C. Yates; K. Tumer,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901051,NO,"Learning correct behavior from one example (one-shot learning) is particularly difficult in multiagent systems where the pertinent information is potentially distributed across agents, and the emergent behavior of the system is dependent on inter-agent interactions. We compare the performance of the DMMU framework on a simulated cybersecurity task with traditional feed-forward ensembles, long short-term memory based agents, and a centralized learner."
Exploring the Role of Multi-Agent Systems in Improving K-Means Clustering Method,M. A. Jubair; S. A. Mostafa; A. Mustapha; M. H. Hassan; M. A. Salamat; M. S. Jawad,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9567893,NO,"This suggests the suitability of the proposed algorithm as a clustering technique that can also be applied to other clustering algorithms that are based on the concept of initial cluster centroids selection. Therefore, this study proposes a novel parallel clustering algorithm that integrates Multi-Agent Systems (MAS) with the K-means algorithm; hence, the proposed novel algorithm is termed Multi-agent-K-means (MK-means)."
A Survey of Multi-agent Systems and Case-Based Reasoning Integration,M. A. Jubair; S. A. Mostafa; A. Mustapha; H. Hafit,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540549,NO,"The paper outcomes two main approaches of CBR-MAS: a number of agents are integrated on the reasoning steps of the CBR cycle or a CBR or CBRs is integrated on the run cycle of an individual agent or a MAS. The researchers integrate Multi-agent-systems (MAS) within the CBR to increase the ability of the CBR to solve problems that require agents' abilities such as interaction, autonomy, and flexibility."
Simulation of Crowd Evacuation in Laboratory using Social Force Model,F. S. Ismail; S. Mohamad; K. Isa; S. M. Shah; R. M. Hanifa; M. S. Sunar; F. M. Nasir,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540545,NO,The area that is used as an example is a laboratory space with different layouts to determine if the layout has any impacts in evacuating the enclosed space of the laboratory. The simulation is executed by using a combination of agent-based modeling and a simulation technique for crowd evacuation which is known as the Social Force Model (SFM).
An Adaptive Model for Detection and Prevention of DDoS and Flash Crowd Flooding Attacks,B. A. Khalaf; S. A. Mostafa; A. Mustapha; N. Abdullah,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540546,NO,The following topics are dealt with: multi-agent systems; software agents; Internet; robot vision; mobile robots; computer network security; Java; feature extraction; mobile ad hoc networks; routing protocols.
Fitness Critics for Multiagent Learning: Extended Abstract,G. Rockefeller; P. Mannion; K. Tumer,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901056,NO,"The noise-reduction provided by actor-critic methods cannot be directly applied to the evolutionary algorithms when learning policies in episodic problems as the critic provides stepwise evaluations but evolutionary algorithms require episodic fitness evaluations. With demonstrations on the tightly coupled multi-rover domain, this paper shows that teams trained with fitness critics achieve comparable or increased team performance scores compared to teams trained with other noise- reduction methods."
A General Framework of Multi-Agent Features Extraction Operators for Deformed Images Identification,S. H. Khaleefah; S. A. Mostafa; A. Mustapha; R. Darman,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540560,NO,"The framework is meant to improve the image identification accuracy and reduce the universal search space of local and global operators which in return reduce the computational cost and time. However, each operator of a type has its strength and weakness in handling the deformations of the images including rotation, shear, region of interest, noise and variance of intensity."
Exploring the Roles of Agents and Multi-Agent in Image Feature Extraction,S. H. Khaleefah; S. A. Mostafa; A. Mustapha; R. Daraman; M. F. Nasrudin; S. Ismail,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9567863,NO,"Hence, the overall aim of this paper is to provide an overview of the image texture and feature extraction concepts depicted in the literature for characterizing regions in images by exploring the role and strategies of the agent and multi-agent systems (MAS). Finally, a discussion for agent and multi-agent-based feature extraction in image analysis is presented by comparing the strategies and the frequent use of the strategies in the literature."
Network Security Risk Assessment Using Intelligent Agents,M. Mohammadian,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540557,NO,"The multi-agent system is capable of security network analysis to identify paths using an attack graph of the network under consideration to protect network systems, as the networks grow and change, against possible attacks. The multiagent system uses a model developed by Mohammadian [3] for converting AGs to Fuzzy Cognitive Maps (FCMs) to identify attack paths from attack graphs and perform security risk analysis."
