"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Cooperative Learning Method for Multi-Agent System with Different Input Resolutions","F. Uwano","Dept. of Computer Science, Okayama University, Okayama, Japan","2021 4th International Symposium on Agents, Multi-Agent Systems and Robotics (ISAMSR)","26 Oct 2021","2021","","","84","90","Multi-Agent Reinforcement Learning controls some agents to learn group action with cooperation each other. For example, AGVs in warehouse as the agents cooperate with others and put on and off the supplies to organize them. Though Multi-Agent Reinforcement Learning seems to make advantage to apply multi-robot and more domains, this method has some problems, in particular, it cannot consider the sensor resolution in real world problem. This paper addresses this problem as hetero informational problem, and discuss how to solve the problem by the topology and learning of the neural network of the deep reinforcement learning. Concretely, This paper employed Asynchronous Advantageous Actor-Critic (A3C) with some kinds of neural networks to discuss through two experimental cases, single and multi agent domains. This paper compared performance of agents with different number of hidden layers of neural networks in the single agent domain, and investigate the performance on the environment whose agents have different resolution each other in the multi-agent domain.","","978-1-6654-3632-8","10.1109/ISAMSR53229.2021.9567835","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9567835","Multi-Agent System;Reinforcement Learning;Neural Network;Hetero Resolution;Abstraction","Learning systems;Network topology;Neural networks;Reinforcement learning;Robot sensing systems;Topology;Multi-agent systems","automatic guided vehicles;learning (artificial intelligence);multi-agent systems;multi-robot systems","MultiAgent system;different input resolutions;MultiAgent Reinforcement Learning;more domains;world problem;hetero informational problem;topology;neural network;deep reinforcement learning;single agent domain;multiagent domain;Learning method","","","","10","IEEE","26 Oct 2021","","","IEEE","IEEE Conferences"
"Memory-Based Multiagent One-Shot Learning: Extended Abstract","S. Khadka; C. Yates; K. Tumer","Collaborative and Intelligent Robotic Systems (CoRIS) Institute, Oregon State University, Corvallis, OR, USA; Collaborative and Intelligent Robotic Systems (CoRIS) Institute, Oregon State University, Corvallis, OR, USA; Collaborative and Intelligent Robotic Systems (CoRIS) Institute, Oregon State University, Corvallis, OR, USA","2019 International Symposium on Multi-Robot and Multi-Agent Systems (MRS)","14 Nov 2019","2019","","","145","147","Learning correct behavior from one example (one-shot learning) is particularly difficult in multiagent systems where the pertinent information is potentially distributed across agents, and the emergent behavior of the system is dependent on inter-agent interactions. This paper introduces Distributed Modular Memory Units (DMMU), a distributed multiagent learning framework. DMMU uses a shared external memory to enable one-shot adaptive learning in multiagent systems. The external memory is accessed by agents acting independently and in parallel. Agents operate by processing their individual states and deciding when to interact with the shared external memory unit. This allows agents to identify, retain, and propagate information among the team. Subsequently, DMMU can rapidly assimilate task features from a group of distributed agents and successfully use the information to accomplish distributed one-shot learning. We compare the performance of the DMMU framework on a simulated cybersecurity task with traditional feed-forward ensembles, long short-term memory based agents, and a centralized learner. Results demonstrate that DMMU shows at least 100% performance improvement over the other methods, and exhibits distributed one-shot learning to effectively solve this complex task.","","978-1-7281-2876-4","10.1109/MRS.2019.8901051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901051","","Task analysis;Servers;Multi-agent systems;Computer security;Feedforward neural networks;Logic gates;Knowledge based systems","distributed memory systems;learning (artificial intelligence);multi-agent systems","learning correct behavior;multiagent systems;pertinent information;emergent behavior;inter-agent interactions;distributed multiagent learning framework;one-shot adaptive learning;shared external memory unit;DMMU framework;short-term memory based agents;memory-based multiagent one-shot learning;modular memory units","","","","10","IEEE","14 Nov 2019","","","IEEE","IEEE Conferences"
"Exploring the Role of Multi-Agent Systems in Improving K-Means Clustering Method","M. A. Jubair; S. A. Mostafa; A. Mustapha; M. H. Hassan; M. A. Salamat; M. S. Jawad","Department of Computer Technical engineering, College of Information Technology, Imam Ja'afar Al-Sadiq University, Al-Muthanna, Iraq; Faculty of Computer Science and Information Technology Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Applied Sciences and Technology Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Department of Computer Technical engineering, College of Information Technology, Imam Ja'afar Al-Sadiq University, Al-Muthanna, Iraq; Faculty of Computer Science and Information Technology Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Computer Science and Information Technology Universiti Tun Hussein Onn Malaysia, Johor, Malaysia","2021 4th International Symposium on Agents, Multi-Agent Systems and Robotics (ISAMSR)","26 Oct 2021","2021","","","59","63","Clustering algorithms are attracting much application interest due to the significant growth in the rate of data generation. However, the high computational complexity of the existing clustering algorithms has rendered them ineffective in several ways. Therefore, this study proposes a novel parallel clustering algorithm that integrates Multi-Agent Systems (MAS) with the K-means algorithm; hence, the proposed novel algorithm is termed Multi-agent-K-means (MK-means). The MK-means is based on the concept of separating the activating agents to perform clustering while considering a different subset of features for each agent. This is aimed at the preservation of the dataset while improving the clustering accuracy. The cluster centers are calculated for each partition before being merged and clustered again. The statistical significance of the proposed approach is provided. The effectiveness of the proposed MK-means clustering algorithm was evaluated using Wine datasets, and the performance is compared with that of the traditional K-means algorithm. The results analysis proved the superiority of the proposed MK-mean clustering algorithm over the traditional version of the K-means algorithm. This suggests the suitability of the proposed algorithm as a clustering technique that can also be applied to other clustering algorithms that are based on the concept of initial cluster centroids selection.","","978-1-6654-3632-8","10.1109/ISAMSR53229.2021.9567893","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9567893","K-means algorithm;clustering;decision-making;software agent;multi-agent system","Clustering methods;Clustering algorithms;Partitioning algorithms;Computational complexity;Standards;Robots;Multi-agent systems","multi-agent systems;pattern clustering","activating agents;cluster centers;MK-means clustering algorithm;improved K-means clustering method;multiagent-k-means;initial cluster centroid selection;data generation;computational complexity;Wine dataset","","11","","24","IEEE","26 Oct 2021","","","IEEE","IEEE Conferences"
"A Survey of Multi-agent Systems and Case-Based Reasoning Integration","M. A. Jubair; S. A. Mostafa; A. Mustapha; H. Hafit","Faculty of Computer Science and Information Technology, Universiti Tun Hussein Onn Malaysia, Batu Pahat, Johor, Malaysia; Faculty of Computer Science and Information Technology, Universiti Tun Hussein Onn Malaysia, Batu Pahat, Johor, Malaysia; Faculty of Computer Science and Information Technology, Universiti Tun Hussein Onn Malaysia, Batu Pahat, Johor, Malaysia; Faculty of Computer Science and Information Technology, Universiti Tun Hussein Onn Malaysia, Batu Pahat, Johor, Malaysia","2018 International Symposium on Agent, Multi-Agent Systems and Robotics (ISAMSR)","22 Nov 2018","2018","","","1","6","A Case-Based Reasoning (CBR) is defined as an Artificial Intelligent technique that has a problem-solving ability by reasoning previously experienced cases to solve new cases. The CBR is considered as one of the successful techniques that are applied in a widespread of problem-solving tasks and domains. However, the CBR in unknown or poorly archived cases suffers from uncertainty and imprecision. Additionally, the CBR is inefficient in performing partial reasoning and revision to distributed and dynamic problems. These problems entail flexible problem-solving and management architecture. The researchers integrate Multi-agent-systems (MAS) within the CBR to increase the ability of the CBR to solve problems that require agents' abilities such as interaction, autonomy, and flexibility. Consequently, in this paper, we have surveyed various techniques and methods that integrate MAS in CBR (CBR-MAS) to solve different challenges in different domains. The paper outcomes two main approaches of CBR-MAS: a number of agents are integrated on the reasoning steps of the CBR cycle or a CBR or CBRs is integrated on the run cycle of an individual agent or a MAS.","","978-1-5386-7856-5","10.1109/ISAMSR.2018.8540549","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540549","Case-Based-Reasoning;case base;decision-making;Multi-Agent System","Cognition;Containers;Multi-agent systems;Task analysis;Problem-solving;Uncertainty;Supply chains","case-based reasoning;multi-agent systems;problem solving","partial reasoning;flexible problem-solving;CBR-MAS;CBR cycle;case-based reasoning;artificial intelligent technique;multiagent-systems","","1","","35","IEEE","22 Nov 2018","","","IEEE","IEEE Conferences"
"Simulation of Crowd Evacuation in Laboratory using Social Force Model","F. S. Ismail; S. Mohamad; K. Isa; S. M. Shah; R. M. Hanifa; M. S. Sunar; F. M. Nasir","Faculty of Electrical and Electronic Engineering, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Electrical and Electronic Engineering, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Electrical and Electronic Engineering, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Research Centre for Applied Electromagnetics, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Centre for Diploma Studies, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Computing, Universiti Teknologi Malaysia, Johor, Malaysia; Centre for Diploma Studies, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia","2018 International Symposium on Agent, Multi-Agent Systems and Robotics (ISAMSR)","22 Nov 2018","2018","","","1","6","This paper presents the simulation of crowd evacuation when a disaster occurs, and an immediate evacuation from the area is needed. The area that is used as an example is a laboratory space with different layouts to determine if the layout has any impacts in evacuating the enclosed space of the laboratory. The simulation is executed by using a combination of agent-based modeling and a simulation technique for crowd evacuation which is known as the Social Force Model (SFM). The simulation has been developed by using OpenGL and Vecmath package on a platform of Microsoft Visual Studio 2017. The simulation is performed to observe if the layout of a space plays a role in reducing the evacuation time. There are 3 layouts have been simulated where the number of agents is 19 and 25 agents depending on the space of the layouts. The simulation results show satisfactory performance, and it shows that the layout arrangements of the selected laboratories do affect the evacuation time.","","978-1-5386-7856-5","10.1109/ISAMSR.2018.8540545","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540545","Crowd Evacuation;Agent-based Modeling;Social Force Model","Layout;Fires;Computational modeling;Automata;Force","behavioural sciences computing;digital simulation;disasters;multi-agent systems","laboratory space;layout arrangements;crowd evacuation simulation;social force model;disaster;agent-based modeling;SFM;OpenGL;Vecmath package;Microsoft Visual Studio 2017","","1","","18","IEEE","22 Nov 2018","","","IEEE","IEEE Conferences"
"An Adaptive Model for Detection and Prevention of DDoS and Flash Crowd Flooding Attacks","B. A. Khalaf; S. A. Mostafa; A. Mustapha; N. Abdullah","Faculty of Computer Science and Information Technology, Universiti Tun Hussin Onn Malaysia, Johor, Malaysia; Faculty of Computer Science and Information Technology, Universiti Tun Hussin Onn Malaysia, Johor, Malaysia; Faculty of Computer Science and Information Technology, Universiti Tun Hussin Onn Malaysia, Johor, Malaysia; Faculty of Computer Science and Information Technology, Universiti Tun Hussin Onn Malaysia, Johor, Malaysia","2018 International Symposium on Agent, Multi-Agent Systems and Robotics (ISAMSR)","22 Nov 2018","2018","","","1","6","The following topics are dealt with: multi-agent systems; software agents; Internet; robot vision; mobile robots; computer network security; Java; feature extraction; mobile ad hoc networks; routing protocols.","","978-1-5386-7856-5","10.1109/ISAMSR.2018.8540546","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540546","Software agent;Flash Crowd (FC);Distributed Denial of Service (DDoS);Network Application Layer (NAL)","Computer crime;Adaptation models;IP networks;Internet;Kalman filters;Floods;Information technology","Internet;mobile robots;multi-agent systems;robot vision;software agents","multi-agent systems;software agents;Internet;robot vision;mobile robots;computer network security;Java;feature extraction;mobile ad hoc networks;routing protocols","","8","","31","IEEE","22 Nov 2018","","","IEEE","IEEE Conferences"
"Fitness Critics for Multiagent Learning: Extended Abstract","G. Rockefeller; P. Mannion; K. Tumer","Collaborative Robotics and Intelligent Systems Institute, Oregon State University, Corvallis, OR, USA; Department of Computer Science & Applied Physics, Galway-Mayo Institute of Technology, Galway, Ireland; Collaborative Robotics and Intelligent Systems Institute, Oregon State University, Corvallis, OR, USA","2019 International Symposium on Multi-Robot and Multi-Agent Systems (MRS)","14 Nov 2019","2019","","","222","224","This paper presents fitness critics as noise-reduced fitness evaluation functions for cooperative coevolution of multiagent teams. Noise in the evaluation function can have a negative impact on evolutionary learning, especially in multiagent learning. The evaluation function for an individual agent can be noisy as each agent in the team changes their policies independently. Existing noise-reduction methods are not suitable for efficient evolutionary algorithms. The noise-reduction provided by actor-critic methods cannot be directly applied to the evolutionary algorithms when learning policies in episodic problems as the critic provides stepwise evaluations but evolutionary algorithms require episodic fitness evaluations. Fitness critics can provide noise-reduced episodic fitness evaluations by aggregating the multiple stepwise evaluations of an intermediate critic. With demonstrations on the tightly coupled multi-rover domain, this paper shows that teams trained with fitness critics achieve comparable or increased team performance scores compared to teams trained with other noise- reduction methods.","","978-1-7281-2876-4","10.1109/MRS.2019.8901056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901056","","Evolutionary computation;Noise measurement;Task analysis;Multi-agent systems","aerospace computing;evolutionary computation;learning (artificial intelligence);planetary rovers;team working","fitness critics;noise-reduced episodic fitness evaluations;intermediate critic;multiagent learning;noise-reduced fitness evaluation functions;multiagent teams;evaluation function;evolutionary learning;noise-reduction methods;evolutionary algorithms;actor-critic methods;learning policies;tightly coupled multirover domain","","","","10","IEEE","14 Nov 2019","","","IEEE","IEEE Conferences"
"A General Framework of Multi-Agent Features Extraction Operators for Deformed Images Identification","S. H. Khaleefah; S. A. Mostafa; A. Mustapha; R. Darman","Faculty of Computer Science and Information Technology, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Computer Science and Information Technology, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Computer Science and Information Technology, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Computer Science and Information Technology, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia","2018 International Symposium on Agent, Multi-Agent Systems and Robotics (ISAMSR)","22 Nov 2018","2018","","","1","5","Texture extraction of images is a core step in image pattern recognition applications. Different operators are applied for image texture extraction in order to obtain a unique identification of an image texture based on physical characteristics of the images. These operators are categorized into local and global texture analysis descriptors. This categorization is based on the properties of the operators and their features extraction methodology. However, each operator of a type has its strength and weakness in handling the deformations of the images including rotation, shear, region of interest, noise and variance of intensity. Subsequently, there is no operator that can perfectly handle all the deformation problems. To this end, this paper proposes a general framework of a Collaborative Multi-Agent Feature Extraction (CMAFE). The CMAFE framework deploys a multi-agent system to perform dynamic collaborations between the feature extraction operators. The operators are formed in a multi-agent system in which each agent implements an operator. This collaboration between the agents is based on a divide and conquer strategy. This strategy enables the operators to cope with the various challenges of deformations that are affecting the accuracy of the identification. The framework is meant to improve the image identification accuracy and reduce the universal search space of local and global operators which in return reduce the computational cost and time.","","978-1-5386-7856-5","10.1109/ISAMSR.2018.8540560","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540560","Texture analysis;texture features extraction;multiagent system;collaboration;divide and conquer","Feature extraction;Strain;Multi-agent systems;Task analysis;Image texture;Collaboration;Statistical analysis","divide and conquer methods;feature extraction;image recognition;image texture;multi-agent systems;search problems","image pattern recognition applications;image texture extraction;deformation problems;CMAFE framework;multiagent system;feature extraction operators;image identification accuracy;collaborative multiagent feature extraction;texture analysis descriptors;multiagent features extraction operators;deformed image identification;image physical characteristics;divide and conquer strategy;search space","","6","","23","IEEE","22 Nov 2018","","","IEEE","IEEE Conferences"
"Exploring the Roles of Agents and Multi-Agent in Image Feature Extraction","S. H. Khaleefah; S. A. Mostafa; A. Mustapha; R. Daraman; M. F. Nasrudin; S. Ismail","Faculty of Computer Science and Information Technology Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Computer Science and Information Technology Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Computer Science and Information Technology Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Computer Science and Information Technology Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Centre for Artificial Intelligence Technology Universiti Kebangsaan Malaysia, Selangor, Malaysia; University Malaysia of Computer Science & Engineering, Cyberjaya, Selangor, Malaysia","2021 4th International Symposium on Agents, Multi-Agent Systems and Robotics (ISAMSR)","26 Oct 2021","2021","","","76","83","In the interior of image texture analysis methods, many types, behavior, strategies, modeling, and characteristics are employed. Several surveys and reviews are illustrated in the literature regarding image texture and feature extraction using an agent and multi-agent-based systems. Nevertheless, few determinations are made in the context of the image texture feature extraction. Hence, the overall aim of this paper is to provide an overview of the image texture and feature extraction concepts depicted in the literature for characterizing regions in images by exploring the role and strategies of the agent and multi-agent systems (MAS). This paper tackles two behavior types, reactive agent (RA) and goal-directed agent (GDA), in terms of the natural surroundings of agent and multi-agent communications. In terms of MAS modeling, this paper tackles three types, including facilitator agent architecture (FAA), mediator agent architecture (MAA), an autonomous agent architecture (AAA). While for the MAS characteristics, five types are presented: interaction, coordination, cooperation, collaboration, and collectiveness. Finally, a discussion for agent and multi-agent-based feature extraction in image analysis is presented by comparing the strategies and the frequent use of the strategies in the literature. Based on this review, most of the feature extraction multi-agent-based systems rely on either coordinating or emergent-based strategies, while feature selection agent-based systems rely on collaborative strategies. However, there are several aspects that we can consider to be classified as agent-based strategies. This review develops a classification scheme for systems used in specific tasks of feature extraction.","","978-1-6654-3632-8","10.1109/ISAMSR53229.2021.9567863","Universiti Tun Hussein Onn Malaysia(grant numbers:H786); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9567863","Image processing;image texture analysis;feature extraction;agent;multi-agent system","Image texture;Analytical models;Robot kinematics;Collaboration;FAA;Feature extraction;Autonomous agents","feature extraction;image texture;multi-agent systems","autonomous agent architecture;MAS characteristics;multiagent-based feature extraction;image analysis;feature extraction multiagent-based systems;emergent-based strategies;feature selection agent-based systems;collaborative strategies;agent-based strategies;image feature extraction;image texture analysis methods;image texture feature extraction;multiagent systems;behavior types;goal-directed agent;multiagent communications;MAS modeling;mediator agent architecture","","1","","83","IEEE","26 Oct 2021","","","IEEE","IEEE Conferences"
"Network Security Risk Assessment Using Intelligent Agents","M. Mohammadian","Faculty of Science and Technology, University of Canberra, Canberra, Australia","2018 International Symposium on Agent, Multi-Agent Systems and Robotics (ISAMSR)","22 Nov 2018","2018","","","1","6","Network security is an important issue in today's world with existence of network systems that communicate data and information about all aspects of our life, work and business. Network security is an important issue with connected networks and data communication between organisations of that specialized in different areas. Network security engineers spend a considerable amount of time to investigate network for security breaches and to enhance the security of their networks and data communications on their networks. They use Attack Graphs (AGs) which are graphical representation of networks to assist them in analysing large networks. With increase size of networks and their complexity, the use of attack graphs alone does not provide the necessary risk analysis and assessment facilities. There is a need for automated intelligent systems such as multiagent systems to assist in analysing, assessing and testing networks. Network systems changes with the increase in the size of organisation and connectivity of network of organisations based on the business needs or organisational or governmental rules and regulations. In this paper a multi-agent system is developed assist in analysing interconnected network to identify security risks. The multi-agent system is capable of security network analysis to identify paths using an attack graph of the network under consideration to protect network systems, as the networks grow and change, against possible attacks. The multiagent system uses a model developed by Mohammadian [3] for converting AGs to Fuzzy Cognitive Maps (FCMs) to identify attack paths from attack graphs and perform security risk analysis. In this paper a novel decision-making approach using FCMs is employed.","","978-1-5386-7856-5","10.1109/ISAMSR.2018.8540557","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540557","Network Connectivity;Data Security;Attack Graphs;Risk Analysis;Risk Prevention","Security;Multi-agent systems;Computer networks;Communication networks;Task analysis;Tools;Robots","computer network security;decision making;graph theory;multi-agent systems;risk analysis","network security risk assessment;data communication;network security engineers;security breaches;attack graph;automated intelligent systems;multiagent system;security risk analysis;interconnected network analysis;network graphical representation;large networks analysis;organisational rules;governmental rules;fuzzy cognitive maps;FCMs;decision-making approach","","3","","11","IEEE","22 Nov 2018","","","IEEE","IEEE Conferences"
