Document Title,Authors,Publication Year,PDF Link,Implementation?,Abstract Summary
Measuring Crowd Collectiveness via Global Motion Correlation,L. Mei; J. Lai; Z. Chen; X. Xie,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022173,NO,"For intra-crowd collectiveness, we introduce the energy spread process to identify the impacting factors of collectiveness, then measure the collectiveness of individuals within a crowd cluster by computing their similarities of magnitude and direction from the optical flow. However, few studies consider the magnitude discrepancy of velocity in a crowd and the collectiveness among different crowds, which can also affect the overall crowd collectiveness."
Social and Scene-Aware Trajectory Prediction in Crowded Spaces,M. Lisotto; P. Coscia; L. Ballan,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9021955,NO,"Mimicking human ability to forecast future positions or interpret complex interactions in urban scenarios, such as streets, shopping malls or squares, is essential to develop socially compliant robots or self-driving cars. To foresee plausible trajectories, we construct an LSTM (long short-term memory)-based model considering three fundamental factors: people interactions, past observations in terms of previously crossed areas and semantics of surrounding space."
SLAMANTIC - Leveraging Semantics to Improve VSLAM in Dynamic Environments,M. Schörghuber; D. Steininger; Y. Cabon; M. Humenberger; M. Gelautz,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022073,YES,"Evaluating our method on public datasets, we show that it can successfully solve challenging situations in dynamic environments which cause state-of-the-art baseline VSLAM algorithms to fail and that it maintains performance on static scenes. Points with high confidence are used to verify points with low confidence in order to select the final set of points for pose computation and mapping."
Towards Learning Multi-Agent Negotiations via Self-Play,Y. Tang,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022183,NO,"Leveraging the powerful Deep RL paradigm, we demonstrate that an iterative procedure of self-play can create progressively more diverse environments, leading to the learning of sophisticated and robust multi-agent policies. Qualitatively, we find that through self-play, our policies automatically learn interesting behaviors such as defensive driving, overtaking, yielding, and the use of signal lights to communicate intentions to other agents."
Crowd Counting on Images with Scale Variation and Isolated Clusters,H. Bai; S. Wen; S. . -H. G. Chan,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022196,NO,"SACANet consists of three major modules: the pyramid contextual module which extracts long-range contextual information and enlarges the receptive field, a scale-adaptive self-attention multi-branch module to attain high scale sensitivity and detection accuracy of isolated clusters, and a hierarchical fusion module to fuse multi-level self-attention features. Designing a general crowd counting algorithm applicable to a wide range of crowd images is challenging, mainly due to the possibly large variation in object scales and the presence of many isolated small clusters."
DECCNet: Depth Enhanced Crowd Counting,S. -D. Yang; H. -T. Su; W. H. Hsu; W. -C. Chen,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022022,NO,"In this paper, we present an effective crowd counting method, Depth Enhanced Crowd Counting Network (DECCNet), which leverages the estimated depth information with our novel Bidirectional Cross-modal Attention (BCA) mechanism. In our experiments, we demonstrate that DECCNet outperforms the state-of-the-art on the two largest crowd counting datasets available, including UCF-QNRF, which has the highest crowd density."
Characterizing Scattered Occlusions for Effective Dense-Mode Crowd Counting,K. J. Almalki; B. -Y. Choi; Y. Chen; S. Song,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9607560,NO,"Through extensive evaluations, we demonstrate that the accuracy of CSONet with scattered occlusion images outperforms over the state-of-art existing crowd counting approaches by 30% to 100% in both mean absolute error and mean square error. We have designed and implemented a new crowd overfit reduction network by adding both spatial pyramid pooling and dilated convolution layers over modified VGG16 for capturing high-level features of extended receptive fields."
Pushing the Frontiers of Unconstrained Crowd Counting: New Dataset and Benchmark Method,V. Sindagi; R. Yasarla; V. Patel,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009496,NO,"The proposed method uses VGG16 as the backbone network and employs density map generated by the final layer as a coarse prediction to refine and generate finer density maps in a progressive fashion using residual learning. Furthermore, we introduce a new large scale unconstrained crowd counting dataset (JHU-CROWD) that is ~2.8 larger than the most recent crowd counting datasets in terms of the number of images."
VisDrone-CC2021: The Vision Meets Drone Crowd Counting Challenge Results,Z. Liu; Z. He; L. Wang; W. Wang; Y. Yuan; D. Zhang; J. Zhang; P. Zhu; L. V. Gool; J. Han; S. Hoi; Q. Hu; M. Liu; J. Pan; B. Yin; B. Zhang; C. Liu; D. Ding; D. Liang; G. Ding; H. Lu; H. Lin; J. Chen; J. Li; L. Liu; L. Zhou; M. Shi; Q. Yang; Q. He; S. Peng; W. Xu; W. Han; X. Bai; X. Chen; Y. Wang; Y. Xia; Y. Tao; Z. Chen; Z. Cao,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9607764,NO,"Motivated by high quality and quantity study in crowding counting, we collect a drone-captured dataset formed by 5,468 images(images in RGB and thermal appear in pairs and 2,734 respectively). Based on this dataset, we organized the Vision Meets Drone Crowd Counting Challenge(Visdrone-CC2021) in conjunction with the International Conference on Computer Vision (ICCV 2021)."
Audio-Visual Transformer Based Crowd Counting,U. Sajid; X. Chen; H. Sajid; T. Kim; G. Wang,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9607793,NO,"The most recent study tries to exploit auditory information to aid the visual models, however, the performance is limited due to the lack of an effective approach for feature extraction and integration. The paper proposes a new audiovisual multi-task network to address the critical challenges in crowd counting by effectively utilizing both visual and audio inputs for better modalities association and productive feature extraction."
Counterfactual Critic Multi-Agent Training for Scene Graph Generation,L. Chen; H. Zhang; J. Xiao; X. He; S. Pu; S. -F. Chang,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010810,NO,"However, we argue that the visual context is not properly learned by using the prevailing cross-entropy based supervised learning paradigm, which is not sensitive to graph inconsistency: errors at the hub or non-hub nodes should not be penalized equally. In particular, to assign the reward properly to each agent, CMAT uses a counterfactual baseline that disentangles the agent-specific reward by fixing the predictions of other agents."
Prior Guided Dropout for Robust Visual Localization in Dynamic Environments,Z. Huang; Y. Xu; J. Shi; X. Zhou; H. Bao; G. Zhang,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9008288,YES,"Additionally, the dropout module enables the pose regressor to output multiple hypotheses from which the uncertainty of pose estimates can be quantified and leveraged in the following uncertainty-aware pose graph optimization to improve the robustness further. The key idea is a prior guided dropout module coupled with a self-attention module which can guide CNNs to ignore foreground objects during both training and inference."
Perspective-Guided Convolution Networks for Crowd Counting,Z. Yan; Y. Yuan; W. Zuo; X. Tan; Y. Wang; S. Wen; E. Ding,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010874,YES,"While most state-of-the-arts adopt multi-scale or multi-column architectures to address such issue, they generally fail in modeling continuous scale variations since only discrete representative scales are considered. An effective perspective estimation branch is also introduced to PGCNet, which can be trained in either supervised setting or weakly-supervised setting when the branch has been pre-trained."
Bayesian Loss for Crowd Count Estimation With Point Supervision,Z. Ma; X. Wei; X. Hong; Y. Gong,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009503,NO,"Most of the state-of-the-art methods are based on density map estimation, which convert the sparse point annotations into a “ground truth” density map through a Gaussian kernel, and then use it as the learning target to train a density map estimator. Instead of constraining the value at every pixel in the density map, the proposed training loss adopts a more reliable supervision on the count expectation at each annotated point."
PRECOG: PREdiction Conditioned on Goals in Visual Multi-Agent Settings,N. Rhinehart; R. Mcallister; K. Kitani; S. Levine,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009551,NO,"Beyond its general ability to perform conditional forecasting queries, we show that our model's predictions of all agents improve when conditioned on knowledge of the AV's goal, further illustrating its capability to model agent interactions. For autonomous vehicles (AVs) to behave appropriately on roads populated by human-driven vehicles, they must be able to reason about the uncertain intentions and decisions of other drivers from rich perceptual information."
An Indoor Crowd Detection Network Framework Based on Feature Aggregation Module and Hybrid Attention Selection Module,W. Shen; P. Qin; J. Zeng,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022292,NO,"Since the indoor population feature and background feature overlap and the classification boundaries are not obvious, the proposed improved hybrid attention selection module (HASM) combines the selection mechanism with the previously proposed mixed attention module. In order to better provide the details needed for small scale pupulation detection, we propose a novel feature aggregation module (FAM), which uses the idea of fusion and decomposition to aggregate contextual feature information."
DnD: Dense Depth Estimation in Crowded Dynamic Indoor Scenes,D. Jung; J. Choi; Y. Lee; D. Kim; C. Kim; D. Manocha; D. Lee,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9709913,NO,"We present a novel approach for estimating depth from a monocular camera as it moves through complex and crowded indoor environments, e.g., a department store or a metro station. Since it is difficult to collect dense depth maps from crowded indoor environments, we design our training framework without requiring depths produced from depth sensing devices."
Adaptive Density Map Generation for Crowd Counting,J. Wan; A. Chan,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009065,NO,"To address this issue, we first show the impact of different density maps and that better ground-truth density maps can be obtained by refining the existing ones using a learned refinement network, which is jointly trained with the counter. In the sense of end-to-end training, the hand-crafted methods used for generating the density maps may not be optimal for the particular network or dataset used."
Crowd Counting With Deep Structured Scale Integration Network,L. Liu; Z. Qiu; G. Li; S. Liu; W. Ouyang; L. Lin,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010246,NO,"Unlike conventional methods which directly fuse multiple features with weighted average or concatenation, we first introduce a Structured Feature Enhancement Module based on conditional random fields (CRFs) to refine multiscale features mutually with a message passing mechanism. In this paper, we propose a novel Deep Structured Scale Integration Network (DSSINet) for crowd counting, which addresses the scale variation of people by using structured feature representation learning and hierarchically structured loss function optimization."
EM-Fusion: Dynamic Object-Level SLAM With Probabilistic Data Association,M. Strecke; J. Stueckler,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010932,NO,"We represent rigid objects in local volumetric signed distance function (SDF) maps, and formulate multi-object tracking as direct alignment of RGB-D images with the SDF representations. We analyze our approach in experiments and demonstrate that our approach compares favorably with the state-of-the-art methods in terms of robustness and accuracy."
Social NCE: Contrastive Learning of Socially-aware Motion Representations,Y. Liu; Q. Yan; A. Alahi,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9711444,YES,"In this work, we aim to address this issue by explicitly modeling negative examples through self-supervision: (i) we intro-duce a social contrastive loss that regularizes the extracted motion representation by discerning the ground-truth positive events from synthetic negative ones; (ii) we construct informative negative samples based on our prior knowledge of rare but dangerous circumstances. Intuitively, if the training data only comes from human behaviors in safe spaces, i.e., from ""positive"" examples, it is difficult for learning algorithms to capture the notion of ""negative"" examples like collisions."
